key,p1,v1,p2,v2,p3,v3
Aimag:Total,observationAbout,country/MNG,,,,
Aimag,observationAbout,{Data},populationType,Person,measuredProperty,count
labour underutilization,employmentStatus,LaborUnderutilized,,,,
 Unemployed,employmentStatus,Unemployed,,,,
 Time-related underemployment,employmentStatus,LaborUnderutilizedTimeRelatedUnderemployed,,,,
 Potential labour force,employmentStatus,LaborUnderutilizedPotentialLaborForce,,,,
Female,gender,Female,,,,
Male,gender,Male,,,,
15-19,age,[15 19 Years],,,,
20-24,age,[20 24 Years],,,,
25-29,age,[25 29 Years],,,,
30-34,age,[30 34 Years],,,,
35-39,age,[35 39 Years],,,,
40-44,age,[40 44 Years],,,,
45-49,age,[45 49 Years],,,,
50-54,age,[50 54 Years],,,,
55-59,age,[55 59 Years],,,,
60-64,age,[60 64 Years],,,,
65-69,age,[65 69 Years],,,,
70+,age,[70 - Years],,,,
2009,observationDate,2009,value,{Number},,
2010,observationDate,2010,value,{Number},,
2011,observationDate,2011,value,{Number},,
2012,observationDate,2012,value,{Number},,
2013,observationDate,2013,value,{Number},,
2014,observationDate,2014,value,{Number},,
2015,observationDate,2015,value,{Number},,
2016,observationDate,2016,value,{Number},,
2017,observationDate,2017,value,{Number},,
2018,observationDate,2018,value,{Number},,
2019,observationDate,2019,value,{Number},,
2020,observationDate,2020,value,{Number},,
2021,observationDate,2021,value,{Number},,
2022,observationDate,2022,value,{Number},,
2023,observationDate,2023,value,{Number},,
2024,observationDate,2024,value,{Number},,
