key,p1,v1,p2,v2,,
Sex,populationType,Student,schoolGradeLevel,UniversityEducation,measuredProperty,count
Region,observationAbout,{Data},,,,
Male,gender,Male,,,,
Female,gender,Female,,,,
,,,,,,
,,,,,,
2010,observationDate,2010,value,{Number},,
2011,observationDate,2011,value,{Number},,
2012,observationDate,2012,value,{Number},,
2013,observationDate,2013,value,{Number},,
2014,observationDate,2014,value,{Number},,
2015,observationDate,2015,value,{Number},,
2016,observationDate,2016,value,{Number},,
2017,observationDate,2017,value,{Number},,
2018,observationDate,2018,value,{Number},,
2019,observationDate,2019,value,{Number},,
2020,observationDate,2020,value,{Number},,
2021,observationDate,2021,value,{Number},,
2022,observationDate,2022,value,{Number},,
2023,observationDate,2023,value,{Number},,
2024,observationDate,2024,value,{Number},,
2025,observationDate,2025,value,{Number},,
2026,observationDate,2026,value,{Number},,
2027,observationDate,2027,value,{Number},,
2028,observationDate,2028,value,{Number},,
2029,observationDate,2029,value,{Number},,
2030,observationDate,2030,value,{Number},,
2031,observationDate,2031,value,{Number},,
2032,observationDate,2032,value,{Number},,
