Disease Code:10350,medicalCondition,AnthraxDisease,,,,
Disease Code:10073,medicalCondition,Chikungunya,,,,
Disease Code:10053,medicalCondition,NeuroinvasiveDisease__EasternEquineEncephalitis,,,,
Disease Code:10078,medicalCondition,NeuroinvasiveDisease__JamestownCanyonVirusDisease,,,,
Disease Code:10079,medicalCondition,NonNeuroinvasiveDisease__JamestownCanyonVirusDisease,,,,
Disease Code:10081,medicalCondition,NeuroinvasiveDisease__LaCrosseVirusDisease,,,,
Disease Code:10082,medicalCondition,NonNeuroinvasiveDisease__LaCrosseVirusDisease,
Disease Code:10057,medicalCondition,NeuroinvasiveDisease__PowassanVirusDisease,,,,
Disease Code:10063,medicalCondition,NonNeuroinvasiveDisease__PowassanVirusDisease,,,,
Disease Code:10051,medicalCondition,NeuroinvasiveDisease__StLouisEncephalitis,,,,
Disease Code:10064,medicalCondition,NonNeuroinvasiveDisease__StLouisEncephalitis,,,,
Disease Code:10056,medicalCondition,NeuroinvasiveDisease__WestNileVirusDisease,,,,
Disease Code:10049,medicalCondition,NonNeuroinvasiveDisease__WestNileVirusDisease,,,,
Disease Code:12010,medicalCondition,Babesiosis,,,,
Disease Code:12011,medicalCondition,Babesiosis,medicalStatus,ConfirmedCase,,
Disease Code:12012,medicalCondition,Babesiosis,medicalStatus,ProbableCase,,
Disease Code:10360,medicalCondition,Botulism,,,,
Disease Code:10530,medicalCondition,FoodborneBotulism,,,,
Disease Code:10540,medicalCondition,InfantBotulism,,,,
Disease Code:10550,medicalCondition,WoundBotulism,,,,
Disease Code:10020,medicalCondition,Brucellosis,,,,
Disease Code:11020,medicalCondition,Campylobacteriosis,,,,
Disease Code:50263,medicalCondition,CandidaAuris,medicalStatus,ClinicalCase,,
Disease Code:50264,medicalCondition,CandidaAuris,medicalStatus,Screening,,
Disease Code:50244,medicalCondition,CarbapenemResistantEnterobacteriaceae,,,,
Disease Code:10273,medicalCondition,Chancroid,,,,
Disease Code:10274,medicalCondition,Chlamydia,,,,
Disease Code:10470,medicalCondition,Cholera,,,,
Disease Code:11900,medicalCondition,Coccidioidomycosis,,,,
Disease Code:11901,medicalCondition,Coccidioidomycosis,medicalStatus,ConfirmedCase,,
Disease Code:11902,medicalCondition,Coccidioidomycosis,medicalStatus,ProbableCase,,
Disease Code:11065,medicalCondition,COVID19,,,,
Disease Code:11580,medicalCondition,Cryptosporidiosis,,,,
Disease Code:11582,medicalCondition,Cryptosporidiosis,medicalStatus,ConfirmedCase,,
Disease Code:11583,medicalCondition,Cryptosporidiosis,medicalStatus,ProbableCase,,
Disease Code:11575,medicalCondition,Cyclosporiasis,,,,
Disease Code:10680,medicalCondition,DengueDisease,,,,
Disease Code:11704,medicalCondition,DengueLikeIllness,,,,
Disease Code:11705,medicalCondition,SevereDengue,,,,
Disease Code:10040,medicalCondition,Diphtheria,,,,
Disease Code:11090,medicalCondition,HumanGranulocyticAnaplasmosis,,,,
Disease Code:11088,medicalCondition,HumanMonocyticEhrlichiosis,,,,
Disease Code:11089,medicalCondition,EhrlichiaEwingiiInfection,,,,
Disease Code:11091,medicalCondition,Ehrlichiosis,,,,
Disease Code:11570,medicalCondition,Giardiasis,,,,
Disease Code:10280,medicalCondition,Gonorrhea,,,,
Disease Code:10590,medicalCondition,HaemophilusInfluenzae__InvasiveDisease,,,,
Disease Code:10380,medicalCondition,Leprosy,,,,
Disease Code:11610,medicalCondition,HaemophilusMeningitis,,,,
Disease Code:11590,medicalCondition,HantavirusPulmonarySyndrome,,,,
Disease Code:11550,medicalCondition,PostDiarrheal__HemolyticUremicSyndrome,,,,
Disease Code:10110,medicalCondition,AcuteCondition__HepatitisA,,,,
