period,territory,wage_rural_male,wage_rural_female,wage_rural_person,wage_urban_male,wage_urban_female,wage_urban_person,wage_total_male,wage_total_female,wage_total_person
2017-07,IN-AP,11892.85,11295.65,11713.87,20450.97,19102.38,20105.53,19314.78,17854.52,18931.84
2017-07,IN-AR,21201.1,7978.03,17619.0,24158.49,19789.69,23215.8,22909.8,13923.06,20752.65
2017-07,IN-AS,14201.91,9610.12,12724.38,21010.64,15384.27,19652.89,17528.71,11864.63,15916.07
2017-07,IN-BR,13953.98,8734.32,13558.36,16828.28,18875.26,17025.03,15328.97,14242.79,15235.96
2017-07,IN-CT,8414.39,4803.78,8053.34,14506.75,11771.95,14082.18,13361.13,10916.14,13005.67
2017-07,IN-DL,15082.79,5882.69,14984.48,14346.85,16034.11,14693.83,14350.78,16031.84,14695.07
2017-07,IN-GA,17345.85,6367.03,15108.22,25265.13,21556.86,23633.56,23634.04,20373.11,22318.12
2017-07,IN-GJ,9798.93,8666.38,9551.42,14243.27,9809.53,13544.72,13805.41,9648.95,13123.83
2017-07,IN-HR,12595.53,23092.28,13421.97,17623.82,17467.36,17603.83,16889.36,17978.01,17020.96
2017-07,IN-HP,19080.81,7734.81,17402.08,18315.79,16055.08,17905.28,18654.71,12862.76,17687.34
2017-07,IN-JK,20607.71,13781.34,19631.08,22157.08,20651.44,21823.57,21680.44,19230.73,21193.07
2017-07,IN-JH,15556.59,13498.8,15240.7,24751.71,12868.22,21990.86,22511.11,12970.26,20464.55
2017-07,IN-KA,11365.14,6467.52,10168.73,20153.52,12592.39,17708.99,18953.28,12000.29,16773.52
2017-07,IN-KL,17623.9,13408.65,15994.19,18022.12,16140.98,17379.46,17941.23,15494.95,17081.86
2017-07,IN-MP,11365.35,3559.1,9639.81,16512.15,12869.5,15764.58,15878.27,11624.53,14996.86
2017-07,IN-MH,11071.4,4801.5,10264.87,18371.85,13778.35,17230.79,17674.34,13373.87,16649.09
2017-07,IN-MN,17144.99,23287.91,18539.43,22472.8,20283.88,21748.22,21119.49,20788.88,21017.88
2017-07,IN-ML,22861.62,8677.58,16597.71,23780.44,18724.78,21879.85,23657.43,17029.79,21101.75
2017-07,IN-MZ,21427.01,25491.23,22258.97,24089.51,22266.01,23439.07,23901.95,22375.62,23370.91
2017-07,IN-NL,16433.63,23830.13,17862.18,22365.62,11276.0,20292.33,20723.91,14852.24,19616.05
2017-07,IN-OR,11789.95,6334.31,10998.03,17854.06,14057.04,17417.42,16243.97,11579.29,15669.24
2017-07,IN-PB,16189.07,9904.33,15195.07,15995.03,21975.47,17265.33,16025.02,20611.54,16962.9
2017-07,IN-RJ,13909.62,4871.72,13044.34,16939.42,15743.49,16747.85,16211.91,14121.1,15907.56
2017-07,IN-SK,17266.38,14546.05,15962.37,12844.11,15364.37,13552.74,13921.92,15011.39,14294.74
2017-07,IN-TN,12011.95,8399.14,10958.66,16099.05,11826.07,14759.99,15596.81,11441.72,14305.54
2017-07,IN-TG,16181.22,12190.86,15196.14,20694.81,9086.78,18488.11,20460.56,9307.22,18305.1
2017-07,IN-TR,15170.45,8736.39,14407.85,18432.58,13112.29,17308.76,17191.46,12080.99,16279.98
2017-07,IN-UT,19038.51,7058.63,17270.59,16030.6,12583.4,15370.91,16499.39,11926.02,15654.04
2017-07,IN-UP,11494.41,12455.56,11658.69,16891.42,17538.28,16984.91,15874.82,16416.48,15955.86
2017-07,IN-WB,7852.24,4004.52,6732.74,14474.61,11733.02,13861.38,13539.24,10266.25,12773.56
2017-07,IN-AN,16362.24,8059.37,15329.87,30592.09,16493.37,28173.49,26632.12,14729.66,24740.48
2017-07,IN-CH,19037.58,4544.4,18181.44,18935.56,13582.22,17499.89,18936.79,13563.32,17506.32
2017-07,IN-DN,11570.02,0.0,11570.02,21572.41,47685.93,23723.57,20255.18,47685.93,22238.79
2017-07,IN-DD,40718.98,9758.93,33946.0,16534.75,7000.0,16264.88,17367.15,7704.13,17015.51
2017-07,IN-LD,27274.0,10972.89,22307.96,22574.7,30792.02,25133.46,23650.94,26362.75,24491.21
2017-07,IN-PY,14501.08,6655.8,11835.87,17266.08,13697.15,16031.11,17126.52,13351.09,15821.29
2017-07,IN,12658.61,8776.85,11877.61,17314.47,13894.53,16537.85,16602.39,13208.56,15844.77
