table with row headers in column A and column headers in rows 3 through 4 (leading dots indicate sub-parts),,,,,,,,,,,,,
"Table 1. Intercensal Estimates of the Resident Population for Counties of Oregon: April 1, 2000 to July 1, 2010",,,,,,,,,,,,,
Geographic Area,"April 1, 20001",Intercensal Estimates (as of July 1),,,,,,,,,,"April 1, 20102","July 1, 20103"
,,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,,
Oregon,"3,421,524","3,429,708","3,467,937","3,513,424","3,547,376","3,569,463","3,613,202","3,670,883","3,722,417","3,768,748","3,808,600","3,831,074","3,838,957"
.Baker County,"16,742","16,714","16,618","16,376","16,312","16,272","16,086","16,094","16,139","16,195","16,225","16,134","16,097"
.Benton County,"78,143","78,236","78,491","80,203","80,322","80,149","80,943","81,957","83,718","84,150","85,390","85,579","85,575"
.Clackamas County,"338,407","339,223","343,444","348,951","352,032","355,758","359,308","363,508","366,808","371,103","374,085","375,992","376,891"
.Clatsop County,"35,634","35,560","35,509","35,519","35,612","35,912","36,282","36,603","36,818","36,825","36,972","37,039","37,070"
.Columbia County,"43,553","43,634","44,196","45,104","45,636","46,192","46,955","48,184","48,898","49,209","49,394","49,351","49,343"
.Coos County,"62,795","62,662","62,190","62,286","62,625","63,208","63,843","63,844","63,420","63,226","63,079","63,043","63,025"
.Crook County,"19,175","19,262","19,705","19,779","20,011","20,643","21,019","21,673","21,818","21,811","21,410","20,978","20,864"
.Curry County,"21,147","21,133","21,250","21,653","21,899","22,473","22,750","22,626","22,447","22,305","22,341","22,364","22,337"
.Deschutes County,"115,372","116,566","120,526","125,247","129,094","133,756","140,567","148,149","152,633","156,820","157,345","157,733","157,894"
.Douglas County,"100,375","100,485","100,562","101,529","102,776","103,965","105,285","106,658","107,057","107,316","107,378","107,667","107,638"
.Gilliam County,"1,910","1,908","1,901","1,877","1,823","1,860","1,863","1,834","1,816","1,886","1,856","1,871","1,871"
.Grant County,"7,934","7,906","7,498","7,438","7,472","7,415","7,389","7,373","7,267","7,303","7,343","7,445","7,458"
.Harney County,"7,606","7,661","7,491","7,417","7,360","7,312","7,211","7,286","7,327","7,375","7,432","7,422","7,399"
.Hood River County,"20,407","20,461","20,397","20,615","20,621","20,835","21,022","21,200","21,276","21,589","22,015","22,346","22,451"
.Jackson County,"181,281","181,775","183,835","186,704","189,838","192,185","194,701","196,858","199,152","201,162","202,301","203,206","203,462"
.Jefferson County,"18,995","19,113","19,653","19,941","20,212","20,339","20,622","21,113","21,861","21,885","21,730","21,720","21,670"
.Josephine County,"75,729","75,851","76,452","77,712","78,779","79,729","80,660","81,601","81,746","82,389","82,315","82,713","82,807"
.Klamath County,"63,771","63,885","64,139","64,150","64,582","64,841","65,553","66,294","66,767","66,732","66,460","66,380","66,345"
.Lake County,"7,421","7,428","7,538","7,522","7,578","7,576","7,558","7,796","7,880","7,961","7,901","7,895","7,872"
.Lane County,"323,011","323,492","324,855","327,506","330,845","332,327","335,831","339,926","344,844","348,176","350,850","351,715","351,983"
.Lincoln County,"44,481","44,317","43,854","44,270","44,421","44,877","45,347","45,529","45,798","45,915","45,989","46,034","46,054"
.Linn County,"103,079","103,020","103,544","104,561","106,035","106,799","108,132","110,764","112,932","114,967","116,001","116,672","116,910"
.Malheur County,"31,618","31,540","31,532","31,455","31,335","31,250","31,273","31,303","31,434","31,311","31,265","31,313","31,319"
.Marion County,"284,844","285,411","288,136","292,533","295,317","297,139","299,461","303,290","306,964","309,729","313,389","315,335","316,096"
.Morrow County,"10,995","10,995","11,043","11,313","11,317","11,275","11,162","11,203","11,048","11,002","11,102","11,173","11,207"
.Multnomah County,"660,602","661,654","669,690","676,653","679,348","672,526","674,862","683,767","697,799","712,989","727,721","735,334","737,902"
.Polk County,"62,412","62,596","63,445","64,135","65,060","66,569","68,585","71,027","72,791","74,346","74,934","75,403","75,625"
.Sherman County,"1,934","1,921","1,848","1,763","1,758","1,682","1,678","1,682","1,713","1,691","1,733","1,765","1,774"
.Tillamook County,"24,264","24,253","24,359","24,396","24,565","24,780","24,974","25,160","25,243","25,151","25,179","25,250","25,265"
.Umatilla County,"70,556","70,728","70,682","72,150","72,820","73,463","73,765","73,984","74,269","74,488","75,199","75,889","76,079"
.Union County,"24,522","24,537","24,353","24,472","24,607","24,513","24,675","24,754","25,263","25,473","25,580","25,748","25,796"
.Wallowa County,"7,230","7,220","7,112","7,042","7,008","6,899","6,877","6,835","6,884","6,900","6,948","7,008","7,027"
.Wasco County,"23,797","23,837","23,808","23,699","23,885","23,817","23,929","24,159","24,451","24,617","24,981","25,213","25,266"
.Washington County,"445,256","447,980","460,622","468,549","474,336","480,207","490,773","502,226","508,842","515,815","524,699","529,710","531,744"
.Wheeler County,"1,551","1,546","1,503","1,534","1,516","1,473","1,414","1,425","1,419","1,399","1,411","1,441","1,450"
.Yamhill County,"84,975","85,198","86,156","87,370","88,619","89,447","90,847","93,198","95,875","97,537","98,647","99,193","99,391"
"1 The April 1, 2000 Population Estimates base reflects changes to the Census 2000 population from the Count Question Resolution program, 
legal boundary updates, and other geographic program revisions.",,,,,,,,,,,,,
"2 The data source for April 1, 2010 is the 2010 Census count.",,,,,,,,,,,,,
"3 The values for July 1, 2010 were produced by applying estimates of change in the population between April 1 and July 1 of 2010 to the 2010 Census counts.  Further details on this methodology
are available at http://www.census.gov/popest/methodology/intercensal_nat_meth.pdf.",,,,,,,,,,,,,
"Note: All geographic boundaries for the 2000-2010 intercensal estimates are defined as of January 1, 2010.",,,,,,,,,,,,,
Suggested Citation:,,,,,,,,,,,,,
"Table 1. Intercensal Estimates of the Resident Population for Counties of Oregon: April 1, 2000 to July 1, 2010 (CO-EST00INT-01-41)",,,,,,,,,,,,,
"Source: U.S. Census Bureau, Population Division",,,,,,,,,,,,,
Release Date: September 2011,,,,,,,,,,,,,
