table with row headers in column A and column headers in rows 3 through 4 (leading dots indicate sub-parts),,,,,,,,,,,,,
"Table 1. Intercensal Estimates of the Resident Population for Counties of Colorado: April 1, 2000 to July 1, 2010",,,,,,,,,,,,,
Geographic Area,"April 1, 20001",Intercensal Estimates (as of July 1),,,,,,,,,,"April 1, 20102","July 1, 20103"
,,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,,
Colorado,"4,302,086","4,326,921","4,425,687","4,490,406","4,528,732","4,575,013","4,631,888","4,720,423","4,803,868","4,889,730","4,972,195","5,029,196","5,049,071"
.Adams County,"348,076","350,888","359,816","370,753","377,464","384,809","395,146","406,575","415,746","424,913","435,700","441,603","443,715"
.Alamosa County,"14,965","14,954","14,956","15,114","15,067","15,217","15,236","15,196","15,180","15,300","15,289","15,445","15,499"
.Arapahoe County,"488,829","491,482","502,393","508,936","513,690","518,971","524,466","531,619","542,039","552,461","563,161","572,003","575,022"
.Archuleta County,"9,894","10,020","10,454","10,885","11,089","11,266","11,496","11,937","12,262","12,250","12,169","12,084","12,063"
.Baca County,"4,517","4,501","4,471","4,336","4,117","4,064","3,997","3,933","3,866","3,806","3,767","3,788","3,795"
.Bent County,"5,996","5,954","5,841","5,973","6,166","6,180","6,118","6,012","5,715","5,962","6,425","6,499","6,510"
.Boulder County,"269,784","271,574","277,597","279,468","278,768","279,728","280,241","284,243","287,428","290,859","293,190","294,567","295,166"
.Broomfield County,"39,202","39,679","41,055","41,800","43,805","44,867","46,313","48,729","51,526","53,181","54,789","55,889","56,135"
.Chaffee County,"16,250","16,337","16,488","16,844","16,921","17,047","17,105","17,087","17,377","17,573","17,852","17,809","17,809"
.Cheyenne County,"2,229","2,209","2,179","2,119","2,021","1,981","1,939","1,912","1,863","1,881","1,843","1,836","1,830"
.Clear Creek County,"9,263","9,255","9,383","9,514","9,402","9,148","9,150","9,042","9,152","9,138","8,994","9,088","9,112"
.Conejos County,"8,400","8,401","8,350","8,358","8,310","8,353","8,337","8,256","8,217","8,200","8,140","8,256","8,288"
.Costilla County,"3,661","3,675","3,619","3,639","3,645","3,656","3,562","3,571","3,567","3,532","3,481","3,524","3,528"
.Crowley County,"5,514","5,509","5,614","5,666","5,464","5,720","5,677","5,886","6,015","5,947","5,797","5,823","5,838"
.Custer County,"3,508","3,523","3,664","3,714","3,865","3,911","3,989","3,994","4,112","4,107","4,190","4,255","4,271"
.Delta County,"27,824","27,877","28,069","28,677","28,929","29,305","29,389","29,789","30,121","30,712","31,156","30,952","30,885"
.Denver County,"553,805","555,651","561,976","556,790","552,588","550,756","551,691","556,895","564,395","575,721","589,011","600,158","604,414"
.Dolores County,"1,844","1,847","1,849","1,870","1,842","1,850","1,869","1,973","1,980","2,061","2,057","2,064","2,062"
.Douglas County,"175,732","180,121","196,783","208,911","220,352","232,508","243,112","256,136","267,177","275,500","281,386","285,465","287,003"
.Eagle County,"41,623","41,961","43,238","44,227","44,995","45,893","47,205","48,476","49,803","51,049","52,513","52,197","52,126"
.Elbert County,"19,855","20,060","21,094","21,678","21,834","21,977","22,182","22,423","22,402","22,634","22,965","23,086","23,138"
.El Paso County,"516,934","519,938","535,864","544,145","547,549","556,667","565,800","580,251","586,783","597,919","608,061","622,263","626,928"
.Fremont County,"46,140","46,245","46,633","47,019","46,901","46,605","46,641","46,873","46,959","47,166","46,871","46,824","46,837"
.Garfield County,"43,786","44,257","45,636","46,925","47,622","48,193","49,579","51,594","53,534","55,449","57,089","56,389","56,139"
.Gilpin County,"4,746","4,783","4,781","4,788","4,777","4,752","4,810","4,883","4,893","5,026","5,352","5,441","5,478"
.Grand County,"12,433","12,496","12,743","13,158","13,324","13,596","13,627","14,003","14,306","14,622","14,902","14,843","14,796"
.Gunnison County,"14,000","14,068","14,206","14,322","14,273","14,356","14,456","14,720","15,043","15,250","15,356","15,324","15,312"
.Hinsdale County,792,791,817,798,779,810,794,815,835,818,834,843,847
.Huerfano County,"7,859","7,771","7,635","7,571","7,428","7,193","7,145","7,127","7,051","7,073","6,824","6,711","6,667"
.Jackson County,"1,577","1,577","1,529","1,532","1,512","1,486","1,449","1,415","1,407","1,378","1,408","1,394","1,390"
.Jefferson County,"525,449","526,251","528,845","527,851","524,940","520,900","519,675","521,662","524,911","529,003","531,961","534,543","535,533"
.Kiowa County,"1,622","1,610","1,550","1,519","1,501","1,457","1,467","1,456","1,410","1,392","1,378","1,398","1,399"
.Kit Carson County,"8,013","7,971","7,995","8,250","8,133","8,157","8,060","8,011","7,954","8,157","8,383","8,270","8,276"
.Lake County,"7,814","7,815","7,758","7,676","7,491","7,434","7,331","7,278","7,392","7,450","7,426","7,310","7,287"
.La Plata County,"43,957","44,228","45,044","45,869","46,121","46,728","47,575","48,574","49,343","50,291","51,105","51,334","51,431"
.Larimer County,"251,489","253,072","260,541","265,372","268,448","271,510","275,116","280,713","286,112","291,650","296,696","299,630","300,637"
.Las Animas County,"15,212","15,297","15,116","15,424","15,706","15,573","15,582","15,673","15,734","15,770","15,775","15,507","15,421"
.Lincoln County,"6,089","6,070","5,912","5,936","5,904","5,751","5,644","5,530","5,484","5,468","5,423","5,467","5,473"
.Logan County,"20,566","20,699","21,459","21,548","21,825","21,795","21,694","21,911","22,163","22,128","22,451","22,709","22,735"
.Mesa County,"116,939","117,631","119,496","122,440","124,994","127,678","130,194","134,665","139,434","143,155","147,851","146,723","146,313"
.Mineral County,831,832,796,812,828,848,814,789,807,774,732,712,710
.Moffat County,"13,178","13,147","13,065","13,193","13,106","13,175","12,956","13,115","13,348","13,585","13,728","13,795","13,818"
.Montezuma County,"23,822","23,847","23,692","23,935","24,255","24,456","24,514","24,968","25,157","25,222","25,507","25,535","25,539"
.Montrose County,"33,438","33,599","34,361","35,154","35,767","36,310","37,227","38,282","39,673","40,658","41,535","41,276","41,183"
.Morgan County,"27,172","27,257","27,307","27,556","27,736","27,736","27,727","27,816","27,745","27,701","28,099","28,159","28,193"
.Otero County,"20,311","20,242","20,012","19,688","19,585","19,436","19,247","19,042","18,783","18,726","18,743","18,831","18,855"
.Ouray County,"3,747","3,775","3,787","3,872","3,880","4,003","4,055","4,090","4,250","4,405","4,395","4,436","4,455"
.Park County,"14,519","14,670","15,255","15,760","16,024","16,130","16,204","16,230","16,445","16,394","16,098","16,206","16,262"
.Phillips County,"4,485","4,455","4,456","4,497","4,415","4,475","4,467","4,414","4,378","4,349","4,359","4,442","4,472"
.Pitkin County,"14,889","14,817","15,013","15,098","15,217","15,220","15,399","15,504","15,814","16,454","17,008","17,148","17,163"
.Prowers County,"14,483","14,431","14,182","14,057","13,853","13,613","13,480","13,130","12,736","12,663","12,593","12,551","12,546"
.Pueblo County,"141,490","141,800","144,014","146,537","147,907","148,654","149,825","152,026","155,121","156,748","157,846","159,063","159,477"
.Rio Blanco County,"5,992","5,986","5,868","5,951","5,923","6,007","5,945","6,176","6,373","6,522","6,779","6,666","6,620"
.Rio Grande County,"12,425","12,445","12,213","12,224","12,296","12,328","12,208","12,033","11,852","11,860","11,872","11,982","12,011"
.Routt County,"19,679","19,815","20,210","20,469","20,893","21,162","21,398","21,859","22,491","23,135","23,688","23,509","23,447"
.Saguache County,"5,904","5,939","6,024","6,209","6,262","6,365","6,296","6,223","6,148","6,179","6,134","6,108","6,122"
.San Juan County,558,562,581,594,610,631,627,649,661,670,657,699,710
.San Miguel County,"6,593","6,609","6,858","7,111","7,062","7,038","7,097","7,071","7,322","7,366","7,379","7,359","7,357"
.Sedgwick County,"2,747","2,746","2,661","2,694","2,652","2,551","2,522","2,474","2,400","2,421","2,392","2,379","2,372"
.Summit County,"23,560","23,700","24,716","25,006","25,408","25,313","25,487","26,019","26,603","27,144","27,678","27,994","28,081"
.Teller County,"20,541","20,655","21,193","21,543","21,682","21,678","21,978","22,281","22,707","22,725","22,937","23,350","23,454"
.Washington County,"4,922","4,939","4,874","5,035","5,028","4,923","4,912","4,907","4,883","4,792","4,800","4,814","4,803"
.Weld County,"180,766","182,782","192,278","202,234","208,858","215,322","222,879","230,703","237,692","243,442","248,193","252,825","254,270"
.Yuma County,"9,846","9,823","9,822","9,762","9,923","9,791","9,765","9,784","9,788","9,843","10,022","10,043","10,043"
"1 The April 1, 2000 Population Estimates base reflects changes to the Census 2000 population from the Count Question Resolution program, 
legal boundary updates, and other geographic program revisions.",,,,,,,,,,,,,
"2 The data source for April 1, 2010 is the 2010 Census count.",,,,,,,,,,,,,
"3 The values for July 1, 2010 were produced by applying estimates of change in the population between April 1 and July 1 of 2010 to the 2010 Census counts.  Further details on this methodology
are available at http://www.census.gov/popest/methodology/intercensal_nat_meth.pdf.",,,,,,,,,,,,,
"Note: All geographic boundaries for the 2000-2010 intercensal estimates are defined as of January 1, 2010.",,,,,,,,,,,,,
Suggested Citation:,,,,,,,,,,,,,
"Table 1. Intercensal Estimates of the Resident Population for Counties of Colorado: April 1, 2000 to July 1, 2010 (CO-EST00INT-01-08)",,,,,,,,,,,,,
"Source: U.S. Census Bureau, Population Division",,,,,,,,,,,,,
Release Date: September 2011,,,,,,,,,,,,,
