geneID	reactionID
ENSG00000147576	R_HMR_3905
ENSG00000172955	R_HMR_3905
ENSG00000180011	R_HMR_3905
ENSG00000187758	R_HMR_3905
ENSG00000196344	R_HMR_3905
ENSG00000196616	R_HMR_3905
ENSG00000197894	R_HMR_3905
ENSG00000198099	R_HMR_3905
ENSG00000248144	R_HMR_3905
ENSG00000117448	R_HMR_3907
ENSG00000131069	R_HMR_4097
ENSG00000111058	R_HMR_4099
ENSG00000154930	R_HMR_4099
ENSG00000131069	R_HMR_4108
ENSG00000131069	R_HMR_4133
ENSG00000091140	R_HMR_4137
ENSG00000110435	R_HMR_4137
ENSG00000131828	R_HMR_4137
ENSG00000150768	R_HMR_4137
ENSG00000163114	R_HMR_4137
ENSG00000168291	R_HMR_4137
ENSG00000111716	R_HMR_4281
ENSG00000134333	R_HMR_4281
ENSG00000151116	R_HMR_4281
ENSG00000166796	R_HMR_4281
ENSG00000166800	R_HMR_4281
ENSG00000171989	R_HMR_4281
ENSG00000111716	R_HMR_4388
ENSG00000134333	R_HMR_4388
ENSG00000151116	R_HMR_4388
ENSG00000166796	R_HMR_4388
ENSG00000166800	R_HMR_4388
ENSG00000171989	R_HMR_4388
ENSG00000006534	R_HMR_4283
ENSG00000108602	R_HMR_4283
ENSG00000132746	R_HMR_4283
ENSG00000184254	R_HMR_4283
ENSG00000072210	R_HMR_8357
ENSG00000111275	R_HMR_8357
ENSG00000137124	R_HMR_8357
ENSG00000143149	R_HMR_8357
ENSG00000164904	R_HMR_8357
ENSG00000067057	R_HMR_4379
ENSG00000141959	R_HMR_4379
ENSG00000152556	R_HMR_4379
ENSG00000067057	R_HMR_4301
ENSG00000141959	R_HMR_4301
ENSG00000152556	R_HMR_4301
ENSG00000160226	R_HMR_4301
ENSG00000109107	R_HMR_4355
ENSG00000136872	R_HMR_4355
ENSG00000149925	R_HMR_4355
ENSG00000285043	R_HMR_4355
ENSG00000067225	R_HMR_4358
ENSG00000121900	R_HMR_4358
ENSG00000143627	R_HMR_4358
ENSG00000143630	R_HMR_4358
ENSG00000180011	R_HMR_4360
ENSG00000074800	R_HMR_4363
ENSG00000108515	R_HMR_4363
ENSG00000111674	R_HMR_4363
ENSG00000164708	R_HMR_4365
ENSG00000171314	R_HMR_4365
ENSG00000172331	R_HMR_4365
ENSG00000226784	R_HMR_4365
ENSG00000096006	R_HMR_4368
ENSG00000102144	R_HMR_4368
ENSG00000154305	R_HMR_4368
ENSG00000170950	R_HMR_4368
ENSG00000119640	R_HMR_4370
ENSG00000170634	R_HMR_4370
ENSG00000164708	R_HMR_4371
ENSG00000171314	R_HMR_4371
ENSG00000172331	R_HMR_4371
ENSG00000226784	R_HMR_4371
ENSG00000172331	R_HMR_4372
ENSG00000105679	R_HMR_4373
ENSG00000111640	R_HMR_4373
ENSG00000109107	R_HMR_4375
ENSG00000136872	R_HMR_4375
ENSG00000149925	R_HMR_4375
ENSG00000285043	R_HMR_4375
ENSG00000130957	R_HMR_4377
ENSG00000165140	R_HMR_4377
ENSG00000105220	R_HMR_4381
ENSG00000111669	R_HMR_4391
ENSG00000106633	R_HMR_4394
ENSG00000156510	R_HMR_4394
ENSG00000156515	R_HMR_4394
ENSG00000159322	R_HMR_4394
ENSG00000159399	R_HMR_4394
ENSG00000160883	R_HMR_4394
ENSG00000079739	R_HMR_4396
ENSG00000154330	R_HMR_4396
ENSG00000169299	R_HMR_4396
ENSG00000131482	R_HMR_4521
ENSG00000141349	R_HMR_4521
ENSG00000152254	R_HMR_4521
ENSG00000131828	R_HMR_6410
ENSG00000168291	R_HMR_6410
ENSG00000163114	R_HMR_6410
ENSG00000168291	R_HMR_6410
ENSG00000091140	R_HMR_6412
ENSG00000131828	R_HMR_6412
ENSG00000150768	R_HMR_6412
ENSG00000168291	R_HMR_6412
ENSG00000091140	R_HMR_6412
ENSG00000150768	R_HMR_6412
ENSG00000163114	R_HMR_6412
ENSG00000168291	R_HMR_6412
ENSG00000143891	R_HMR_7745
ENSG00000106633	R_HMR_7746
ENSG00000156510	R_HMR_7746
ENSG00000156515	R_HMR_7746
ENSG00000159399	R_HMR_7746
ENSG00000160883	R_HMR_7746
ENSG00000159322	R_HMR_7747
ENSG00000105220	R_HMR_7748
ENSG00000105220	R_HMR_7749
ENSG00000121691	R_HMR_8360
ENSG00000131482	R_HMR_8652
ENSG00000141349	R_HMR_8652
ENSG00000152254	R_HMR_8652
ENSG00000130649	R_HMR_8757
ENSG00000092529	R_HMR_3989
ENSG00000171298	R_HMR_3989
ENSG00000214013	R_HMR_3989
ENSG00000257335	R_HMR_3989
ENSG00000109814	R_HMR_4122
ENSG00000118094	R_HMR_4837
ENSG00000142102	R_HMR_4837
ENSG00000056998	R_HMR_5395
ENSG00000163754	R_HMR_5395
ENSG00000056998	R_HMR_5396
ENSG00000104812	R_HMR_5396
ENSG00000111713	R_HMR_5396
ENSG00000163754	R_HMR_5396
ENSG00000104812	R_HMR_9727
ENSG00000111713	R_HMR_9727
ENSG00000119938	R_HMR_9727
ENSG00000173281	R_HMR_9727
ENSG00000114480	R_HMR_5397
ENSG00000068976	R_HMR_5398
ENSG00000100504	R_HMR_5398
ENSG00000100994	R_HMR_5398
ENSG00000162688	R_HMR_5399
ENSG00000162688	R_HMR_5400
ENSG00000068976	R_HMR_5401
ENSG00000100504	R_HMR_5401
ENSG00000100994	R_HMR_5401
ENSG00000120563	R_HMR_8568
ENSG00000174876	R_HMR_8568
ENSG00000187733	R_HMR_8568
ENSG00000237763	R_HMR_8568
ENSG00000240038	R_HMR_8568
ENSG00000243480	R_HMR_8568
ENSG00000120563	R_HMR_8569
ENSG00000174876	R_HMR_8569
ENSG00000187733	R_HMR_8569
ENSG00000237763	R_HMR_8569
ENSG00000240038	R_HMR_8569
ENSG00000243480	R_HMR_8569
ENSG00000120563	R_HMR_8570
ENSG00000174876	R_HMR_8570
ENSG00000187733	R_HMR_8570
ENSG00000237763	R_HMR_8570
ENSG00000240038	R_HMR_8570
ENSG00000243480	R_HMR_8570
ENSG00000120563	R_HMR_8571
ENSG00000174876	R_HMR_8571
ENSG00000187733	R_HMR_8571
ENSG00000237763	R_HMR_8571
ENSG00000240038	R_HMR_8571
ENSG00000243480	R_HMR_8571
ENSG00000120563	R_HMR_8572
ENSG00000174876	R_HMR_8572
ENSG00000187733	R_HMR_8572
ENSG00000237763	R_HMR_8572
ENSG00000240038	R_HMR_8572
ENSG00000243480	R_HMR_8572
ENSG00000120563	R_HMR_8573
ENSG00000174876	R_HMR_8573
ENSG00000187733	R_HMR_8573
ENSG00000237763	R_HMR_8573
ENSG00000240038	R_HMR_8573
ENSG00000243480	R_HMR_8573
ENSG00000120563	R_HMR_8574
ENSG00000174876	R_HMR_8574
ENSG00000187733	R_HMR_8574
ENSG00000237763	R_HMR_8574
ENSG00000240038	R_HMR_8574
ENSG00000243480	R_HMR_8574
ENSG00000120563	R_HMR_8575
ENSG00000174876	R_HMR_8575
ENSG00000187733	R_HMR_8575
ENSG00000237763	R_HMR_8575
ENSG00000240038	R_HMR_8575
ENSG00000243480	R_HMR_8575
ENSG00000120563	R_HMR_8576
ENSG00000174876	R_HMR_8576
ENSG00000187733	R_HMR_8576
ENSG00000237763	R_HMR_8576
ENSG00000240038	R_HMR_8576
ENSG00000243480	R_HMR_8576
ENSG00000120563	R_HMR_8577
ENSG00000174876	R_HMR_8577
ENSG00000187733	R_HMR_8577
ENSG00000237763	R_HMR_8577
ENSG00000240038	R_HMR_8577
ENSG00000243480	R_HMR_8577
ENSG00000120563	R_HMR_8578
ENSG00000174876	R_HMR_8578
ENSG00000187733	R_HMR_8578
ENSG00000237763	R_HMR_8578
ENSG00000240038	R_HMR_8578
ENSG00000243480	R_HMR_8578
ENSG00000120563	R_HMR_8579
ENSG00000174876	R_HMR_8579
ENSG00000187733	R_HMR_8579
ENSG00000237763	R_HMR_8579
ENSG00000240038	R_HMR_8579
ENSG00000243480	R_HMR_8579
ENSG00000120563	R_HMR_8581
ENSG00000174876	R_HMR_8581
ENSG00000187733	R_HMR_8581
ENSG00000237763	R_HMR_8581
ENSG00000240038	R_HMR_8581
ENSG00000243480	R_HMR_8581
ENSG00000214013	R_HMR_8591
ENSG00000257335	R_HMR_8591
ENSG00000171298	R_HMR_8592
ENSG00000120563	R_HMR_8580
ENSG00000174876	R_HMR_8580
ENSG00000187733	R_HMR_8580
ENSG00000237763	R_HMR_8580
ENSG00000240038	R_HMR_8580
ENSG00000243480	R_HMR_8580
ENSG00000120563	R_HMR_8582
ENSG00000174876	R_HMR_8582
ENSG00000187733	R_HMR_8582
ENSG00000237763	R_HMR_8582
ENSG00000240038	R_HMR_8582
ENSG00000243480	R_HMR_8582
ENSG00000214013	R_HMR_8587
ENSG00000257335	R_HMR_8587
ENSG00000171298	R_HMR_8589
ENSG00000257335	R_HMR_8583
ENSG00000090402	R_HMR_8584
ENSG00000165434	R_HMR_8585
ENSG00000169764	R_HMR_3944
ENSG00000117308	R_HMR_4128
ENSG00000108479	R_HMR_4130
ENSG00000156958	R_HMR_4130
ENSG00000213930	R_HMR_4131
ENSG00000213930	R_HMR_4132
ENSG00000090402	R_HMR_4303
ENSG00000171298	R_HMR_4303
ENSG00000214013	R_HMR_4303
ENSG00000257335	R_HMR_4303
ENSG00000108479	R_HMR_4414
ENSG00000156958	R_HMR_4414
ENSG00000166262	R_HMR_4414
ENSG00000115850	R_HMR_4415
ENSG00000163521	R_HMR_4415
ENSG00000170266	R_HMR_4415
ENSG00000188167	R_HMR_4415
ENSG00000102393	R_HMR_4416
ENSG00000170266	R_HMR_4416
ENSG00000241343	R_HMR_4416
ENSG00000067057	R_HMR_4774
ENSG00000141959	R_HMR_4774
ENSG00000152556	R_HMR_4774
ENSG00000067057	R_HMR_4775
ENSG00000141959	R_HMR_4775
ENSG00000152556	R_HMR_4775
ENSG00000115850	R_HMR_4832
ENSG00000163521	R_HMR_4832
ENSG00000170266	R_HMR_4832
ENSG00000188167	R_HMR_4832
ENSG00000086062	R_HMR_7674
ENSG00000117411	R_HMR_7674
ENSG00000167531	R_HMR_7674
ENSG00000138030	R_HMR_8761
ENSG00000109107	R_HMR_8762
ENSG00000136872	R_HMR_8762
ENSG00000149925	R_HMR_8762
ENSG00000285043	R_HMR_8762
ENSG00000115850	R_HMR_8764
ENSG00000085662	R_HMR_8766
ENSG00000198074	R_HMR_8766
ENSG00000213930	R_HMR_8767
ENSG00000114268	R_HMR_4297
ENSG00000123836	R_HMR_4297
ENSG00000158571	R_HMR_4297
ENSG00000170525	R_HMR_4297
ENSG00000138030	R_HMR_4310
ENSG00000140263	R_HMR_4315
ENSG00000085662	R_HMR_4316
ENSG00000198074	R_HMR_4316
ENSG00000116199	R_HMR_4317
ENSG00000141560	R_HMR_4317
ENSG00000162408	R_HMR_4317
ENSG00000167363	R_HMR_4317
ENSG00000172456	R_HMR_4317
ENSG00000116199	R_HMR_4318
ENSG00000141560	R_HMR_4318
ENSG00000162408	R_HMR_4318
ENSG00000167363	R_HMR_4318
ENSG00000172456	R_HMR_4318
ENSG00000156510	R_HMR_4319
ENSG00000156515	R_HMR_4319
ENSG00000159399	R_HMR_4319
ENSG00000160883	R_HMR_4319
ENSG00000116199	R_HMR_4320
ENSG00000141560	R_HMR_4320
ENSG00000162408	R_HMR_4320
ENSG00000167363	R_HMR_4320
ENSG00000172456	R_HMR_4320
ENSG00000109107	R_HMR_4356
ENSG00000136872	R_HMR_4356
ENSG00000149925	R_HMR_4356
ENSG00000285043	R_HMR_4356
