statvar,dcid
Count_Student_LessThanTwoYear_CourseCompletedWithin100PercentOfNormalTime_EducationalAttainmentPostSecondaryCertificate_InstitutionControlPrivateForProfit_AsAFractionOf_Count_Student_LessThanTwoYear_EducationalAttainmentPostSecondaryCertificate_InstitutionControlPrivateForProfit,Count_Student_LessThanTwoYear_CourseCompletedWithin100PercentOfNormalTime_PostSecondaryCertificate_InstitutionControlPrivateForProfit_AsAFractionOf_Count_Student_LessThanTwoYear_PostSecondaryCertificate_InstitutionControlPrivateForProfit
Count_Student_TwoYear_CourseCompletedWithin100PercentOfNormalTime_EducationalAttainmentAssociateDegreeOrCertificate_InstitutionControlPublic_AsAFractionOf_Count_Student_TwoYear_EducationalAttainmentAssociateDegreeOrCertificate_InstitutionControlPublic,Count_Student_TwoYear_CourseCompletedWithin100PercentOfNormalTime_AssociateDegreeOrCertificate_InstitutionControlPublic_AsAFractionOf_Count_Student_TwoYear_AssociateDegreeOrCertificate_InstitutionControlPublic
Count_Student_TwoYear_CourseCompletedWithin150PercentOfNormalTime_EducationalAttainmentAssociateDegreeOrCertificate_InstitutionControlPrivateNonProfit_AsAFractionOf_Count_Student_TwoYear_EducationalAttainmentAssociateDegreeOrCertificate_InstitutionControlPrivateNonProfit,Count_Student_TwoYear_CourseCompletedWithin150PercentOfNormalTime_AssociateDegreeOrCertificate_InstitutionControlPrivateNonProfit_AsAFractionOf_Count_Student_TwoYear_AssociateDegreeOrCertificate_InstitutionControlPrivateNonProfit
Count_Student_FourYear_CourseCompletedWithin100PercentOfNormalTime_EducationalAttainmentBachelorsDegree_InstitutionControlPrivateForProfit_AsAFractionOf_Count_Student_FourYear_EducationalAttainmentBachelorsDegree_InstitutionControlPrivateForProfit,Count_Student_FourYear_CourseCompletedWithin100PercentOfNormalTime_BachelorsDegree_InstitutionControlPrivateForProfit_AsAFractionOf_Count_Student_FourYear_BachelorsDegree_InstitutionControlPrivateForProfit
Count_Student_FourYear_CourseCompletedWithin100PercentOfNormalTime_EducationalAttainmentBachelorsDegree_AsAFractionOf_Count_Student_FourYear_EducationalAttainmentBachelorsDegree,Count_Student_FourYear_CourseCompletedWithin100PercentOfNormalTime_BachelorsDegree_AsAFractionOf_Count_Student_FourYear_BachelorsDegree
Count_Student_LessThanTwoYear_CourseCompletedWithin150PercentOfNormalTime_EducationalAttainmentPostSecondaryCertificate_InstitutionControlPublic_AsAFractionOf_Count_Student_LessThanTwoYear_EducationalAttainmentPostSecondaryCertificate_InstitutionControlPublic,Count_Student_LessThanTwoYear_CourseCompletedWithin150PercentOfNormalTime_PostSecondaryCertificate_InstitutionControlPublic_AsAFractionOf_Count_Student_LessThanTwoYear_PostSecondaryCertificate_InstitutionControlPublic
Count_Student_LessThanTwoYear_CourseCompletedWithin200PercentOfNormalTime_EducationalAttainmentPostSecondaryCertificate_InstitutionControlPublic_AsAFractionOf_Count_Student_LessThanTwoYear_EducationalAttainmentPostSecondaryCertificate_InstitutionControlPublic,Count_Student_LessThanTwoYear_CourseCompletedWithin200PercentOfNormalTime_PostSecondaryCertificate_InstitutionControlPublic_AsAFractionOf_Count_Student_LessThanTwoYear_PostSecondaryCertificate_InstitutionControlPublic
Count_Student_FourYear_CourseCompletedWithin200PercentOfNormalTime_EducationalAttainmentBachelorsDegree_InstitutionControlPrivateForProfit_AsAFractionOf_Count_Student_FourYear_EducationalAttainmentBachelorsDegree_InstitutionControlPrivateForProfit,Count_Student_FourYear_CourseCompletedWithin200PercentOfNormalTime_BachelorsDegree_InstitutionControlPrivateForProfit_AsAFractionOf_Count_Student_FourYear_BachelorsDegree_InstitutionControlPrivateForProfit
Count_Student_TwoYear_CourseCompletedWithin150PercentOfNormalTime_EducationalAttainmentAssociateDegreeOrCertificate_InstitutionControlPrivateForProfit_AsAFractionOf_Count_Student_TwoYear_EducationalAttainmentAssociateDegreeOrCertificate_InstitutionControlPrivateForProfit,Count_Student_TwoYear_CourseCompletedWithin150PercentOfNormalTime_AssociateDegreeOrCertificate_InstitutionControlPrivateForProfit_AsAFractionOf_Count_Student_TwoYear_AssociateDegreeOrCertificate_InstitutionControlPrivateForProfit
Count_Student_LessThanTwoYear_CourseCompletedWithin150PercentOfNormalTime_EducationalAttainmentPostSecondaryCertificate_InstitutionControlPrivateNonProfit_AsAFractionOf_Count_Student_LessThanTwoYear_EducationalAttainmentPostSecondaryCertificate_InstitutionControlPrivateNonProfit,Count_Student_LessThanTwoYear_CourseCompletedWithin150PercentOfNormalTime_PostSecondaryCertificate_InstitutionControlPrivateNonProfit_AsAFractionOf_Count_Student_LessThanTwoYear_PostSecondaryCertificate_InstitutionControlPrivateNonProfit
Count_Student_TwoYear_CourseCompletedWithin200PercentOfNormalTime_EducationalAttainmentAssociateDegreeOrCertificate_AsAFractionOf_Count_Student_TwoYear_EducationalAttainmentAssociateDegreeOrCertificate,Count_Student_TwoYear_CourseCompletedWithin200PercentOfNormalTime_AssociateDegreeOrCertificate_AsAFractionOf_Count_Student_TwoYear_AssociateDegreeOrCertificate
Count_Student_FourYear_CourseCompletedWithin150PercentOfNormalTime_EducationalAttainmentBachelorsDegree_AsAFractionOf_Count_Student_FourYear_EducationalAttainmentBachelorsDegree,Count_Student_FourYear_CourseCompletedWithin150PercentOfNormalTime_BachelorsDegree_AsAFractionOf_Count_Student_FourYear_BachelorsDegree
Count_Student_TwoYear_CourseCompletedWithin150PercentOfNormalTime_EducationalAttainmentAssociateDegreeOrCertificate_InstitutionControlPublic_AsAFractionOf_Count_Student_TwoYear_EducationalAttainmentAssociateDegreeOrCertificate_InstitutionControlPublic,Count_Student_TwoYear_CourseCompletedWithin150PercentOfNormalTime_AssociateDegreeOrCertificate_InstitutionControlPublic_AsAFractionOf_Count_Student_TwoYear_AssociateDegreeOrCertificate_InstitutionControlPublic
Count_Student_TwoYear_CourseCompletedWithin200PercentOfNormalTime_EducationalAttainmentAssociateDegreeOrCertificate_InstitutionControlPublic_AsAFractionOf_Count_Student_TwoYear_EducationalAttainmentAssociateDegreeOrCertificate_InstitutionControlPublic,Count_Student_TwoYear_CourseCompletedWithin200PercentOfNormalTime_AssociateDegreeOrCertificate_InstitutionControlPublic_AsAFractionOf_Count_Student_TwoYear_AssociateDegreeOrCertificate_InstitutionControlPublic
Count_Student_FourYear_CourseCompletedWithin200PercentOfNormalTime_EducationalAttainmentBachelorsDegree_InstitutionControlPrivateNonProfit_AsAFractionOf_Count_Student_FourYear_EducationalAttainmentBachelorsDegree_InstitutionControlPrivateNonProfit,Count_Student_FourYear_CourseCompletedWithin200PercentOfNormalTime_BachelorsDegree_InstitutionControlPrivateNonProfit_AsAFractionOf_Count_Student_FourYear_BachelorsDegree_InstitutionControlPrivateNonProfit
Count_Student_TwoYear_CourseCompletedWithin150PercentOfNormalTime_EducationalAttainmentAssociateDegreeOrCertificate_AsAFractionOf_Count_Student_TwoYear_EducationalAttainmentAssociateDegreeOrCertificate,Count_Student_TwoYear_CourseCompletedWithin150PercentOfNormalTime_AssociateDegreeOrCertificate_AsAFractionOf_Count_Student_TwoYear_AssociateDegreeOrCertificate
Count_Student_FourYear_CourseCompletedWithin100PercentOfNormalTime_EducationalAttainmentBachelorsDegree_InstitutionControlPrivateNonProfit_AsAFractionOf_Count_Student_FourYear_EducationalAttainmentBachelorsDegree_InstitutionControlPrivateNonProfit,Count_Student_FourYear_CourseCompletedWithin100PercentOfNormalTime_BachelorsDegree_InstitutionControlPrivateNonProfit_AsAFractionOf_Count_Student_FourYear_BachelorsDegree_InstitutionControlPrivateNonProfit
Count_Student_LessThanTwoYear_CourseCompletedWithin200PercentOfNormalTime_EducationalAttainmentPostSecondaryCertificate_InstitutionControlPrivateNonProfit_AsAFractionOf_Count_Student_LessThanTwoYear_EducationalAttainmentPostSecondaryCertificate_InstitutionControlPrivateNonProfit,Count_Student_LessThanTwoYear_CourseCompletedWithin200PercentOfNormalTime_PostSecondaryCertificate_InstitutionControlPrivateNonProfit_AsAFractionOf_Count_Student_LessThanTwoYear_PostSecondaryCertificate_InstitutionControlPrivateNonProfit
Count_Student_LessThanTwoYear_CourseCompletedWithin100PercentOfNormalTime_EducationalAttainmentPostSecondaryCertificate_AsAFractionOf_Count_Student_LessThanTwoYear_EducationalAttainmentPostSecondaryCertificate,Count_Student_LessThanTwoYear_CourseCompletedWithin100PercentOfNormalTime_PostSecondaryCertificate_AsAFractionOf_Count_Student_LessThanTwoYear_PostSecondaryCertificate
Count_Student_TwoYear_CourseCompletedWithin200PercentOfNormalTime_EducationalAttainmentAssociateDegreeOrCertificate_InstitutionControlPrivateForProfit_AsAFractionOf_Count_Student_TwoYear_EducationalAttainmentAssociateDegreeOrCertificate_InstitutionControlPrivateForProfit,Count_Student_TwoYear_CourseCompletedWithin200PercentOfNormalTime_AssociateDegreeOrCertificate_InstitutionControlPrivateForProfit_AsAFractionOf_Count_Student_TwoYear_AssociateDegreeOrCertificate_InstitutionControlPrivateForProfit
Count_Student_LessThanTwoYear_CourseCompletedWithin200PercentOfNormalTime_EducationalAttainmentPostSecondaryCertificate_InstitutionControlPrivateForProfit_AsAFractionOf_Count_Student_LessThanTwoYear_EducationalAttainmentPostSecondaryCertificate_InstitutionControlPrivateForProfit,Count_Student_LessThanTwoYear_CourseCompletedWithin200PercentOfNormalTime_PostSecondaryCertificate_InstitutionControlPrivateForProfit_AsAFractionOf_Count_Student_LessThanTwoYear_PostSecondaryCertificate_InstitutionControlPrivateForProfit
Count_Student_FourYear_CourseCompletedWithin150PercentOfNormalTime_EducationalAttainmentBachelorsDegree_InstitutionControlPrivateForProfit_AsAFractionOf_Count_Student_FourYear_EducationalAttainmentBachelorsDegree_InstitutionControlPrivateForProfit,Count_Student_FourYear_CourseCompletedWithin150PercentOfNormalTime_BachelorsDegree_InstitutionControlPrivateForProfit_AsAFractionOf_Count_Student_FourYear_BachelorsDegree_InstitutionControlPrivateForProfit
Count_Student_LessThanTwoYear_CourseCompletedWithin200PercentOfNormalTime_EducationalAttainmentPostSecondaryCertificate_AsAFractionOf_Count_Student_LessThanTwoYear_EducationalAttainmentPostSecondaryCertificate,Count_Student_LessThanTwoYear_CourseCompletedWithin200PercentOfNormalTime_PostSecondaryCertificate_AsAFractionOf_Count_Student_LessThanTwoYear_PostSecondaryCertificate
Count_Student_LessThanTwoYear_CourseCompletedWithin100PercentOfNormalTime_EducationalAttainmentPostSecondaryCertificate_InstitutionControlPublic_AsAFractionOf_Count_Student_LessThanTwoYear_EducationalAttainmentPostSecondaryCertificate_InstitutionControlPublic,Count_Student_LessThanTwoYear_CourseCompletedWithin100PercentOfNormalTime_PostSecondaryCertificate_InstitutionControlPublic_AsAFractionOf_Count_Student_LessThanTwoYear_PostSecondaryCertificate_InstitutionControlPublic
