MarketingStatusID	ApplNo	ProductNo
3	000004	004
3	000159	001
3	000552	001
3	000552	002
3	000552	003
3	000552	004
3	000552	005
3	000552	007
3	000552	008
3	000552	009
3	000552	010
3	000552	011
3	000552	012
3	000552	013
3	000734	001
3	000734	002
3	000734	003
3	000793	002
3	000793	003
3	000793	004
3	000793	005
3	001104	001
1	001504	001
1	001546	001
3	002139	003
3	002282	001
3	002386	002
3	002386	003
3	002918	001
3	003158	001
3	003158	002
3	003240	001
3	003240	003
3	003240	004
3	003240	005
3	003402	001
1	003444	001
3	003718	004
3	003718	006
3	003718	008
3	003718	010
3	003977	001
3	003977	002
3	003977	003
3	004039	002
3	004039	003
3	004039	004
3	004039	005
3	004039	006
3	004040	001
3	004040	002
3	004041	002
3	004041	003
3	004041	004
3	004041	005
3	004054	001
3	004054	002
3	004056	001
3	004056	002
3	004056	003
3	004056	004
3	004056	005
3	004056	006
3	004056	007
3	004056	008
3	004056	009
3	004056	010
3	004056	011
3	004056	012
3	004056	013
3	004056	014
3	004056	017
3	004122	002
3	004125	005
3	004570	001
3	004570	002
3	004570	003
3	004589	004
3	004589	006
1	004782	001
3	004782	002
1	004782	003
1	004782	004
1	004782	005
1	004782	006
3	005010	001
3	005010	002
3	005010	003
3	005010	004
3	005010	005
3	005010	007
3	005010	009
3	005151	001
3	005213	001
1	005213	002
3	005264	004
3	005264	006
3	005264	007
3	005264	008
3	005264	009
3	005264	010
3	005264	013
3	005264	014
3	005292	001
3	005292	002
3	005292	003
3	005319	001
1	005378	002
3	005378	003
3	005378	004
3	005378	005
3	005490	002
3	005490	003
3	005509	001
3	005509	003
3	005521	001
3	005521	002
3	005521	004
3	005545	003
3	005545	004
3	005545	005
3	005619	001
3	005620	001
3	005657	001
3	005691	002
3	005725	001
3	005794	001
3	005794	002
3	005795	001
3	005845	001
3	005845	004
3	005845	007
3	005856	002
3	005856	005
3	005856	009
3	005897	004
3	005897	008
3	005914	002
3	005914	004
1	005929	001
3	005932	012
1	005939	001
3	005963	001
3	005963	002
3	005963	003
3	005970	004
3	005970	005
3	006002	001
3	006002	002
3	006008	001
3	006012	003
3	006035	003
1	006035	004
3	006044	003
3	006071	003
3	006095	001
3	006110	005
3	006134	002
3	006134	004
3	006134	010
3	006135	003
3	006146	001
3	006146	002
3	006170	003
1	006188	001
3	006203	001
3	006213	001
3	006270	003
3	006309	001
3	006309	003
3	006317	007
3	006317	011
3	006317	012
3	006325	001
3	006327	002
3	006327	003
3	006328	001
3	006328	002
3	006333	008
3	006383	002
3	006383	003
3	006383	004
3	006403	005
3	006412	014
3	006412	015
3	006441	001
3	006459	001
3	006460	002
3	006470	001
1	006488	002
3	006488	003
1	006488	004
1	006488	005
1	006488	007
1	006488	008
1	006488	010
1	006488	012
1	006488	017
1	006488	018
1	006488	019
3	006514	004
3	006525	001
1	006530	003
3	006530	004
3	006536	001
3	006536	002
3	006536	003
3	006536	004
3	006536	005
3	006580	001
3	006620	001
3	006632	003
3	006668	010
3	006695	001
3	006772	001
3	006772	002
3	006773	003
3	006773	005
3	006773	009
3	006773	010
3	006798	001
3	006799	002
3	006799	004
3	006799	010
3	006800	001
3	006800	002
3	006800	003
3	006811	001
3	006811	002
3	006811	006
3	006811	011
1	006823	001
3	006882	001
3	006904	001
3	006904	002
3	006905	002
3	006905	003
3	006917	001
3	006920	002
3	006920	003
3	006921	002
3	006921	006
3	006927	001
3	006931	002
3	007012	002
1	007073	001
1	007073	002
3	007085	002
3	007110	002
3	007110	003
3	007245	001
3	007320	002
3	007335	001
3	007335	002
3	007335	003
3	007335	004
3	007335	005
3	007336	002
3	007336	003
3	007337	005
3	007337	006
1	007337	007
3	007390	001
3	007392	002
3	007409	001
3	007409	003
3	007413	001
3	007413	002
3	007504	002
3	007504	003
1	007513	001
3	007517	002
3	007517	004
3	007529	002
3	007600	003
3	007600	005
3	007600	009
3	007638	001
3	007638	002
3	007707	001
3	007750	003
3	007757	002
3	007794	001
3	007794	002
3	007794	003
3	007842	001
3	007842	002
3	007865	002
3	007883	002
3	007883	003
3	007898	004
3	007935	002
3	007935	003
3	007935	004
3	007936	001
3	007942	001
3	007942	003
3	007953	001
3	007959	001
3	007959	002
3	007961	002
3	007984	001
3	008032	001
3	008041	001
3	008048	001
3	008085	002
3	008102	004
3	008107	001
3	008107	002
3	008107	003
3	008107	004
3	008107	005
3	008114	004
3	008126	001
3	008126	002
3	008126	003
3	008126	004
3	008173	003
3	008228	001
3	008228	004
3	008248	001
3	008248	002
3	008278	003
3	008284	001
3	008284	002
3	008303	001
3	008303	002
3	008303	003
3	008303	004
3	008303	005
3	008306	004
3	008306	005
1	008316	001
3	008317	002
3	008317	004
3	008319	008
3	008319	009
3	008322	001
1	008370	001
1	008370	002
3	008372	006
1	008372	008
3	008378	003
3	008381	003
3	008381	004
3	008392	003
3	008402	001
3	008414	002
3	008420	001
3	008420	002
3	008420	003
3	008428	001
3	008428	002
3	008428	003
3	008453	001
1	008453	002
3	008453	003
3	008453	004
3	008472	001
3	008492	002
3	008499	002
3	008499	003
3	008506	007
3	008506	011
3	008565	001
3	008565	004
1	008578	001
3	008592	003
3	008592	007
3	008604	003
3	008662	001
3	008678	002
3	008678	003
3	008693	001
3	008693	002
1	008697	001
1	008697	002
1	008697	003
1	008708	001
3	008719	001
3	008720	001
3	008732	002
3	008732	003
1	008762	001
3	008762	002
3	008767	002
3	008794	001
3	008809	004
3	008809	005
3	008809	006
3	008814	001
1	008816	001
3	008822	001
3	008826	001
3	008842	001
3	008842	002
3	008843	001
3	008845	001
3	008845	002
3	008845	004
1	008845	006
3	008847	001
3	008847	003
3	008848	001
3	008848	002
3	008855	004
3	008857	002
3	008857	003
3	008867	001
3	008869	001
3	008883	001
3	008915	001
3	008917	001
3	008917	002
1	008922	001
3	008922	002
3	008943	001
3	008943	002
3	008951	001
3	008951	002
3	008955	001
3	008975	001
3	008975	002
3	008983	001
3	009000	002
3	009008	001
3	009018	003
3	009048	001
3	009048	002
3	009052	001
1	009053	002
3	009078	003
3	009078	006
3	009078	008
3	009087	001
3	009087	002
3	009088	001
3	009102	001
3	009102	003
3	009108	002
3	009108	004
1	009112	003
3	009115	001
3	009115	003
3	009115	004
3	009115	005
3	009127	003
3	009127	005
3	009149	002
3	009149	007
3	009149	011
3	009149	013
3	009149	018
3	009149	020
3	009149	022
3	009149	024
3	009149	032
3	009149	033
3	009149	043
3	009164	001
3	009165	001
3	009165	003
3	009166	001
1	009170	002
1	009170	003
1	009175	001
3	009176	001
3	009176	002
3	009182	002
3	009182	004
3	009182	009
1	009190	001
3	009193	002
3	009193	003
3	009193	004
3	009215	001
3	009217	001
1	009218	005
1	009218	007
3	009218	012
1	009218	013
1	009218	016
1	009218	018
3	009218	020
1	009218	022
1	009218	023
3	009218	024
1	009218	025
1	009218	026
3	009238	001
3	009238	002
3	009255	006
3	009255	008
3	009268	003
3	009268	007
3	009268	011
3	009268	012
3	009273	001
3	009273	002
3	009276	003
3	009276	004
3	009276	005
3	009278	001
3	009278	002
3	009282	002
3	009296	002
3	009296	004
3	009309	001
3	009309	002
3	009319	006
3	009321	001
3	009321	003
3	009321	007
1	009330	002
1	009330	004
3	009344	001
3	009357	001
3	009357	004
3	009357	006
3	009357	008
3	009372	001
3	009376	001
3	009376	004
3	009378	002
1	009386	001
3	009388	001
3	009391	001
3	009391	002
3	009391	004
3	009395	003
3	009395	004
1	009402	002
1	009402	003
1	009402	004
3	009410	005
3	009434	002
1	009435	001
1	009435	002
3	009435	003
3	009435	004
1	009435	006
1	009435	007
3	009436	001
3	009452	001
3	009453	001
3	009453	002
3	009458	001
3	009470	001
3	009477	001
3	009477	002
3	009486	001
3	009489	005
3	009495	001
3	009509	002
3	009519	002
3	009519	005
3	009519	008
3	009561	001
3	009561	002
3	009561	003
3	009585	001
3	009585	003
3	009627	001
3	009627	002
3	009631	002
3	009631	004
3	009637	001
3	009637	002
3	009645	002
