place_name,dcid
All India,country/IND
Andaman & Nicobar Islands,wikidataId/Q40888
Andhra Pradesh,wikidataId/Q1159
Arunachal Pradesh,wikidataId/Q1162
Assam,wikidataId/Q1164
Bihar,wikidataId/Q1165
Chandigarh,wikidataId/Q120971341
Chhattisgarh,wikidataId/Q1168
Dadra & Nagar Haveli,wikidataId/Q77997266
Daman & Diu,wikidataId/Q66710
Delhi,wikidataId/Q9357528
Goa,wikidataId/Q1171
Gujarat,wikidataId/Q1061
Haryana,wikidataId/Q1174
Himachal Pradesh,wikidataId/Q1177
Jammu & Kashmir,wikidataId/Q66278313
Jharkhand,wikidataId/Q1184
Karnataka,wikidataId/Q1185
Kerala,wikidataId/Q1186
Lakshadweep,wikidataId/Q26927
Madhya Pradesh,wikidataId/Q1188
Maharashtra,wikidataId/Q1191
Manipur,wikidataId/Q1193
Meghalaya,wikidataId/Q1195
Mizoram,wikidataId/Q1502
Nagaland,wikidataId/Q1599
Odisha,wikidataId/Q22048
Puducherry,wikidataId/Q66743
Punjab,wikidataId/Q22424
Rajasthan,wikidataId/Q1437
Sikkim,wikidataId/Q1505
Tamil Nadu,wikidataId/Q1445
Telangana,wikidataId/Q677037
Tripura,wikidataId/Q1363
Uttarakhand,wikidataId/Q1499
Uttar Pradesh,wikidataId/Q1498
West Bengal,wikidataId/Q1356
Ladakh,wikidataId/Q200667
Dadra & Nagar Haveli & Daman & Diu,wikidataId/Q77997266
