Year,Place,StatVar,Quantity,Unit
2010,geoId/4704620,dcid:Median_Income_Household_FamilyHousehold,"250,000+",InflationAdjustedUSD_CurrentYear
2010,geoId/4811300,dcid:Median_Income_Household_FamilyHousehold,"250,000+",InflationAdjustedUSD_CurrentYear
2010,geoId/4824558,dcid:Median_Income_Household_FamilyHousehold,"2,500-",InflationAdjustedUSD_CurrentYear
2010,geoId/4833824,dcid:Median_Income_Household_FamilyHousehold,"250,000+",InflationAdjustedUSD_CurrentYear
2010,geoId/4835480,dcid:Median_Income_Household_FamilyHousehold,"250,000+",InflationAdjustedUSD_CurrentYear
2010,geoId/4844170,dcid:Median_Income_Household_FamilyHousehold,"2,500-",InflationAdjustedUSD_CurrentYear
2010,geoId/4853718,dcid:Median_Income_Household_FamilyHousehold,"2,500-",InflationAdjustedUSD_CurrentYear
2010,geoId/4857800,dcid:Median_Income_Household_FamilyHousehold,"250,000+",InflationAdjustedUSD_CurrentYear
2010,geoId/4862292,dcid:Median_Income_Household_FamilyHousehold,"2,500-",InflationAdjustedUSD_CurrentYear
2010,geoId/4877620,dcid:Median_Income_Household_FamilyHousehold,"250,000+",InflationAdjustedUSD_CurrentYear
2010,geoId/4877788,dcid:Median_Income_Household_FamilyHousehold,"250,000+",InflationAdjustedUSD_CurrentYear
2010,geoId/4927902,dcid:Median_Income_Household_FamilyHousehold,"2,500-",InflationAdjustedUSD_CurrentYear
2010,geoId/5312315,dcid:Median_Income_Household_FamilyHousehold,"2,500-",InflationAdjustedUSD_CurrentYear
2010,geoId/5404780,dcid:Median_Income_Household_FamilyHousehold,"2,500-",InflationAdjustedUSD_CurrentYear
2010,geoId/5520167,dcid:Median_Income_Household_FamilyHousehold,"2,500-",InflationAdjustedUSD_CurrentYear
2010,geoId/7211151,dcid:Median_Income_Household_FamilyHousehold,"2,500-",InflationAdjustedUSD_CurrentYear
2010,geoId/0100100,dcid:Median_Income_Household_MarriedCoupleFamilyHousehold,"2,500-",InflationAdjustedUSD_CurrentYear
2010,geoId/0145316,dcid:Median_Income_Household_MarriedCoupleFamilyHousehold,"2,500-",InflationAdjustedUSD_CurrentYear
2010,geoId/0571900,dcid:Median_Income_Household_MarriedCoupleFamilyHousehold,"250,000+",InflationAdjustedUSD_CurrentYear
2010,geoId/0603092,dcid:Median_Income_Household_MarriedCoupleFamilyHousehold,"250,000+",InflationAdjustedUSD_CurrentYear
2010,geoId/0621565,dcid:Median_Income_Household_MarriedCoupleFamilyHousehold,"250,000+",InflationAdjustedUSD_CurrentYear
2010,geoId/0633518,dcid:Median_Income_Household_MarriedCoupleFamilyHousehold,"250,000+",InflationAdjustedUSD_CurrentYear
2010,geoId/0641866,dcid:Median_Income_Household_MarriedCoupleFamilyHousehold,"250,000+",InflationAdjustedUSD_CurrentYear
2010,geoId/0651622,dcid:Median_Income_Household_MarriedCoupleFamilyHousehold,"250,000+",InflationAdjustedUSD_CurrentYear
2010,geoId/0655048,dcid:Median_Income_Household_MarriedCoupleFamilyHousehold,"250,000+",InflationAdjustedUSD_CurrentYear
2010,geoId/0663400,dcid:Median_Income_Household_MarriedCoupleFamilyHousehold,"250,000+",InflationAdjustedUSD_CurrentYear
2010,geoId/0813845,dcid:Median_Income_Household_MarriedCoupleFamilyHousehold,"250,000+",InflationAdjustedUSD_CurrentYear
2010,geoId/0847015,dcid:Median_Income_Household_MarriedCoupleFamilyHousehold,"2,500-",InflationAdjustedUSD_CurrentYear
2010,geoId/0847345,dcid:Median_Income_Household_MarriedCoupleFamilyHousehold,"250,000+",InflationAdjustedUSD_CurrentYear
2010,geoId/0880370,dcid:Median_Income_Household_MarriedCoupleFamilyHousehold,"250,000+",InflationAdjustedUSD_CurrentYear
2010,geoId/0918920,dcid:Median_Income_Household_MarriedCoupleFamilyHousehold,"250,000+",InflationAdjustedUSD_CurrentYear
2010,geoId/0927810,dcid:Median_Income_Household_MarriedCoupleFamilyHousehold,"250,000+",InflationAdjustedUSD_CurrentYear
2010,geoId/0956900,dcid:Median_Income_Household_MarriedCoupleFamilyHousehold,"250,000+",InflationAdjustedUSD_CurrentYear
2010,geoId/1222375,dcid:Median_Income_Household_MarriedCoupleFamilyHousehold,"250,000+",InflationAdjustedUSD_CurrentYear
2010,geoId/1226550,dcid:Median_Income_Household_MarriedCoupleFamilyHousehold,"250,000+",InflationAdjustedUSD_CurrentYear
2010,geoId/1228275,dcid:Median_Income_Household_MarriedCoupleFamilyHousehold,"250,000+",InflationAdjustedUSD_CurrentYear
2010,geoId/1235925,dcid:Median_Income_Household_MarriedCoupleFamilyHousehold,"250,000+",InflationAdjustedUSD_CurrentYear
2010,geoId/1729652,dcid:Median_Income_Household_MarriedCoupleFamilyHousehold,"250,000+",InflationAdjustedUSD_CurrentYear
2010,geoId/1765221,dcid:Median_Income_Household_MarriedCoupleFamilyHousehold,"2,500-",InflationAdjustedUSD_CurrentYear
2010,geoId/1782530,dcid:Median_Income_Household_MarriedCoupleFamilyHousehold,"250,000+",InflationAdjustedUSD_CurrentYear
2010,geoId/1816156,dcid:Median_Income_Household_MarriedCoupleFamilyHousehold,"250,000+",InflationAdjustedUSD_CurrentYear
2010,geoId/2042425,dcid:Median_Income_Household_MarriedCoupleFamilyHousehold,"250,000+",InflationAdjustedUSD_CurrentYear
2010,geoId/2047350,dcid:Median_Income_Household_MarriedCoupleFamilyHousehold,"250,000+",InflationAdjustedUSD_CurrentYear
2010,geoId/2131348,dcid:Median_Income_Household_MarriedCoupleFamilyHousehold,"250,000+",InflationAdjustedUSD_CurrentYear
2010,geoId/2151006,dcid:Median_Income_Household_MarriedCoupleFamilyHousehold,"250,000+",InflationAdjustedUSD_CurrentYear
2010,geoId/2152842,dcid:Median_Income_Household_MarriedCoupleFamilyHousehold,"250,000+",InflationAdjustedUSD_CurrentYear
2010,geoId/2252565,dcid:Median_Income_Household_MarriedCoupleFamilyHousehold,"250,000+",InflationAdjustedUSD_CurrentYear
2010,geoId/2416720,dcid:Median_Income_Household_MarriedCoupleFamilyHousehold,"250,000+",InflationAdjustedUSD_CurrentYear
2010,geoId/2416787,dcid:Median_Income_Household_MarriedCoupleFamilyHousehold,"250,000+",InflationAdjustedUSD_CurrentYear
2010,geoId/2473350,dcid:Median_Income_Household_MarriedCoupleFamilyHousehold,"250,000+",InflationAdjustedUSD_CurrentYear
2010,geoId/2481925,dcid:Median_Income_Household_MarriedCoupleFamilyHousehold,"250,000+",InflationAdjustedUSD_CurrentYear
2010,geoId/2605660,dcid:Median_Income_Household_MarriedCoupleFamilyHousehold,"250,000+",InflationAdjustedUSD_CurrentYear
2010,geoId/2644440,dcid:Median_Income_Household_MarriedCoupleFamilyHousehold,"250,000+",InflationAdjustedUSD_CurrentYear
2010,geoId/2703718,dcid:Median_Income_Household_MarriedCoupleFamilyHousehold,"250,000+",InflationAdjustedUSD_CurrentYear
2010,geoId/2919378,dcid:Median_Income_Household_MarriedCoupleFamilyHousehold,"2,500-",InflationAdjustedUSD_CurrentYear
2010,geoId/3056125,dcid:Median_Income_Household_MarriedCoupleFamilyHousehold,"2,500-",InflationAdjustedUSD_CurrentYear
2010,geoId/3064300,dcid:Median_Income_Household_MarriedCoupleFamilyHousehold,"2,500-",InflationAdjustedUSD_CurrentYear
2010,geoId/3134545,dcid:Median_Income_Household_MarriedCoupleFamilyHousehold,"250,000+",InflationAdjustedUSD_CurrentYear
2010,geoId/3204100,dcid:Median_Income_Household_MarriedCoupleFamilyHousehold,"250,000+",InflationAdjustedUSD_CurrentYear
2010,geoId/3227900,dcid:Median_Income_Household_MarriedCoupleFamilyHousehold,"250,000+",InflationAdjustedUSD_CurrentYear
2010,geoId/3286200,dcid:Median_Income_Household_MarriedCoupleFamilyHousehold,"250,000+",InflationAdjustedUSD_CurrentYear
2010,geoId/3429940,dcid:Median_Income_Household_MarriedCoupleFamilyHousehold,"250,000+",InflationAdjustedUSD_CurrentYear
2010,geoId/3467320,dcid:Median_Income_Household_MarriedCoupleFamilyHousehold,"250,000+",InflationAdjustedUSD_CurrentYear
2010,geoId/3472240,dcid:Median_Income_Household_MarriedCoupleFamilyHousehold,"250,000+",InflationAdjustedUSD_CurrentYear
2010,geoId/3519920,dcid:Median_Income_Household_MarriedCoupleFamilyHousehold,"2,500-",InflationAdjustedUSD_CurrentYear
2010,geoId/3566120,dcid:Median_Income_Household_MarriedCoupleFamilyHousehold,"250,000+",InflationAdjustedUSD_CurrentYear
2010,geoId/3608532,dcid:Median_Income_Household_MarriedCoupleFamilyHousehold,"250,000+",InflationAdjustedUSD_CurrentYear
2010,geoId/3610132,dcid:Median_Income_Household_MarriedCoupleFamilyHousehold,"250,000+",InflationAdjustedUSD_CurrentYear
2010,geoId/3629476,dcid:Median_Income_Household_MarriedCoupleFamilyHousehold,"250,000+",InflationAdjustedUSD_CurrentYear
2010,geoId/3630235,dcid:Median_Income_Household_MarriedCoupleFamilyHousehold,"250,000+",InflationAdjustedUSD_CurrentYear
2010,geoId/3634297,dcid:Median_Income_Household_MarriedCoupleFamilyHousehold,"250,000+",InflationAdjustedUSD_CurrentYear
2010,geoId/3654617,dcid:Median_Income_Household_MarriedCoupleFamilyHousehold,"250,000+",InflationAdjustedUSD_CurrentYear
2010,geoId/3656011,dcid:Median_Income_Household_MarriedCoupleFamilyHousehold,"250,000+",InflationAdjustedUSD_CurrentYear
2010,geoId/3658475,dcid:Median_Income_Household_MarriedCoupleFamilyHousehold,"250,000+",InflationAdjustedUSD_CurrentYear
2010,geoId/3658497,dcid:Median_Income_Household_MarriedCoupleFamilyHousehold,"250,000+",InflationAdjustedUSD_CurrentYear
2010,geoId/3665035,dcid:Median_Income_Household_MarriedCoupleFamilyHousehold,"250,000+",InflationAdjustedUSD_CurrentYear
2010,geoId/3665431,dcid:Median_Income_Household_MarriedCoupleFamilyHousehold,"250,000+",InflationAdjustedUSD_CurrentYear
2010,geoId/3887860,dcid:Median_Income_Household_MarriedCoupleFamilyHousehold,"2,500-",InflationAdjustedUSD_CurrentYear
2010,geoId/3918244,dcid:Median_Income_Household_MarriedCoupleFamilyHousehold,"250,000+",InflationAdjustedUSD_CurrentYear
2010,geoId/3924024,dcid:Median_Income_Household_MarriedCoupleFamilyHousehold,"2,500-",InflationAdjustedUSD_CurrentYear
2010,geoId/3936918,dcid:Median_Income_Household_MarriedCoupleFamilyHousehold,"250,000+",InflationAdjustedUSD_CurrentYear
2010,geoId/3974622,dcid:Median_Income_Household_MarriedCoupleFamilyHousehold,"250,000+",InflationAdjustedUSD_CurrentYear
2010,geoId/3976582,dcid:Median_Income_Household_MarriedCoupleFamilyHousehold,"250,000+",InflationAdjustedUSD_CurrentYear
2010,geoId/4009400,dcid:Median_Income_Household_MarriedCoupleFamilyHousehold,"250,000+",InflationAdjustedUSD_CurrentYear
2010,geoId/4014500,dcid:Median_Income_Household_MarriedCoupleFamilyHousehold,"250,000+",InflationAdjustedUSD_CurrentYear
2010,geoId/4040800,dcid:Median_Income_Household_MarriedCoupleFamilyHousehold,"250,000+",InflationAdjustedUSD_CurrentYear
2010,geoId/4044100,dcid:Median_Income_Household_MarriedCoupleFamilyHousehold,"250,000+",InflationAdjustedUSD_CurrentYear
2010,geoId/4062900,dcid:Median_Income_Household_MarriedCoupleFamilyHousehold,"2,500-",InflationAdjustedUSD_CurrentYear
2010,geoId/4068200,dcid:Median_Income_Household_MarriedCoupleFamilyHousehold,"2,500-",InflationAdjustedUSD_CurrentYear
2010,geoId/4130250,dcid:Median_Income_Household_MarriedCoupleFamilyHousehold,"250,000+",InflationAdjustedUSD_CurrentYear
2010,geoId/4248868,dcid:Median_Income_Household_MarriedCoupleFamilyHousehold,"250,000+",InflationAdjustedUSD_CurrentYear
2010,geoId/4572880,dcid:Median_Income_Household_MarriedCoupleFamilyHousehold,"2,500-",InflationAdjustedUSD_CurrentYear
2010,geoId/4671140,dcid:Median_Income_Household_MarriedCoupleFamilyHousehold,"2,500-",InflationAdjustedUSD_CurrentYear
2010,geoId/4704620,dcid:Median_Income_Household_MarriedCoupleFamilyHousehold,"250,000+",InflationAdjustedUSD_CurrentYear
2010,geoId/4811300,dcid:Median_Income_Household_MarriedCoupleFamilyHousehold,"250,000+",InflationAdjustedUSD_CurrentYear
2010,geoId/4833824,dcid:Median_Income_Household_MarriedCoupleFamilyHousehold,"250,000+",InflationAdjustedUSD_CurrentYear
2010,geoId/4835480,dcid:Median_Income_Household_MarriedCoupleFamilyHousehold,"250,000+",InflationAdjustedUSD_CurrentYear
2010,geoId/4848516,dcid:Median_Income_Household_MarriedCoupleFamilyHousehold,"250,000+",InflationAdjustedUSD_CurrentYear
2010,geoId/4857800,dcid:Median_Income_Household_MarriedCoupleFamilyHousehold,"250,000+",InflationAdjustedUSD_CurrentYear
2010,geoId/4862292,dcid:Median_Income_Household_MarriedCoupleFamilyHousehold,"2,500-",InflationAdjustedUSD_CurrentYear
2010,geoId/4877620,dcid:Median_Income_Household_MarriedCoupleFamilyHousehold,"250,000+",InflationAdjustedUSD_CurrentYear
2010,geoId/4877788,dcid:Median_Income_Household_MarriedCoupleFamilyHousehold,"250,000+",InflationAdjustedUSD_CurrentYear
2010,geoId/4927902,dcid:Median_Income_Household_MarriedCoupleFamilyHousehold,"2,500-",InflationAdjustedUSD_CurrentYear
2010,geoId/5312315,dcid:Median_Income_Household_MarriedCoupleFamilyHousehold,"2,500-",InflationAdjustedUSD_CurrentYear
2010,geoId/5404780,dcid:Median_Income_Household_MarriedCoupleFamilyHousehold,"2,500-",InflationAdjustedUSD_CurrentYear
2010,geoId/0107120,dcid:Median_Income_Household_NonfamilyHousehold,"2,500-",InflationAdjustedUSD_CurrentYear
2010,geoId/0112544,dcid:Median_Income_Household_NonfamilyHousehold,"2,500-",InflationAdjustedUSD_CurrentYear
2010,geoId/0123224,dcid:Median_Income_Household_NonfamilyHousehold,"2,500-",InflationAdjustedUSD_CurrentYear
2010,geoId/0126200,dcid:Median_Income_Household_NonfamilyHousehold,"2,500-",InflationAdjustedUSD_CurrentYear
2010,geoId/0244030,dcid:Median_Income_Household_NonfamilyHousehold,"2,500-",InflationAdjustedUSD_CurrentYear
2010,geoId/0256260,dcid:Median_Income_Household_NonfamilyHousehold,"2,500-",InflationAdjustedUSD_CurrentYear
2010,geoId/0263390,dcid:Median_Income_Household_NonfamilyHousehold,"2,500-",InflationAdjustedUSD_CurrentYear
