VARIABLE_CODE,GEOGRAPHY_CODE,TIME_PERIOD,VALUE,UNITS,UNITMULTIPLIER,MEASUREMENT_METHOD
dcs:sdg/EN_MAR_BEALITSQ,dcs:country/ALB,2018,1284796.57388,dcs:SDG_NUMBER,,dcs:SDG_E_A_G
dcs:sdg/EN_MAR_BEALITSQ,dcs:country/DZA,2015,34285714.28571,dcs:SDG_NUMBER,,dcs:SDG_E_A_G
dcs:sdg/EN_MAR_BEALITSQ,dcs:country/DZA,2016,39450549.45055,dcs:SDG_NUMBER,,dcs:SDG_E_A_G
dcs:sdg/EN_MAR_BEALITSQ,dcs:country/DZA,2018,2485.46006,dcs:SDG_NUMBER,,dcs:SDG_E_A_G
dcs:sdg/EN_MAR_BEALITSQ,dcs:country/AZE,2016,59891.14784,dcs:SDG_NUMBER,,dcs:SDG_E_A_G
dcs:sdg/EN_MAR_BEALITSQ,dcs:country/AZE,2018,249168.91913,dcs:SDG_NUMBER,,dcs:SDG_E_A_G
dcs:sdg/EN_MAR_BEALITSQ,dcs:country/ARG,2015,5832512.31527,dcs:SDG_NUMBER,,dcs:SDG_E_A_G
dcs:sdg/EN_MAR_BEALITSQ,dcs:country/ARG,2016,490426.69341,dcs:SDG_NUMBER,,dcs:SDG_E_A_G
dcs:sdg/EN_MAR_BEALITSQ,dcs:country/ARG,2017,3788198.84523,dcs:SDG_NUMBER,,dcs:SDG_E_A_G
dcs:sdg/EN_MAR_BEALITSQ,dcs:country/ARG,2018,6801203.23682,dcs:SDG_NUMBER,,dcs:SDG_E_A_G
dcs:sdg/EN_MAR_BEALITSQ,dcs:country/AUS,2015,1514.06185,dcs:SDG_NUMBER,,dcs:SDG_E_A_G
dcs:sdg/EN_MAR_BEALITSQ,dcs:country/AUS,2016,7202.05349,dcs:SDG_NUMBER,,dcs:SDG_E_A_G
dcs:sdg/EN_MAR_BEALITSQ,dcs:country/AUS,2017,210440.40437,dcs:SDG_NUMBER,,dcs:SDG_E_A_G
dcs:sdg/EN_MAR_BEALITSQ,dcs:country/AUS,2018,140982.07607,dcs:SDG_NUMBER,,dcs:SDG_E_A_G
dcs:sdg/EN_MAR_BEALITSQ,dcs:country/AUT,2017,148482.89219,dcs:SDG_NUMBER,,dcs:SDG_E_A_G
dcs:sdg/EN_MAR_BEALITSQ,dcs:country/BHS,2016,101986.50622,dcs:SDG_NUMBER,,dcs:SDG_E_A_G
dcs:sdg/EN_MAR_BEALITSQ,dcs:country/BHS,2017,418691.07527,dcs:SDG_NUMBER,,dcs:SDG_E_A_G
dcs:sdg/EN_MAR_BEALITSQ,dcs:country/BHS,2018,498357.37321,dcs:SDG_NUMBER,,dcs:SDG_E_A_G
dcs:sdg/EN_MAR_BEALITSQ,dcs:country/BGD,2016,146784466.01942,dcs:SDG_NUMBER,,dcs:SDG_E_A_G
dcs:sdg/EN_MAR_BEALITSQ,dcs:country/BGD,2017,5784745.72308,dcs:SDG_NUMBER,,dcs:SDG_E_A_G
dcs:sdg/EN_MAR_BEALITSQ,dcs:country/BGD,2018,4008335.54775,dcs:SDG_NUMBER,,dcs:SDG_E_A_G
dcs:sdg/EN_MAR_BEALITSQ,dcs:country/BRB,2016,1150074.83321,dcs:SDG_NUMBER,,dcs:SDG_E_A_G
dcs:sdg/EN_MAR_BEALITSQ,dcs:country/BRB,2017,2376584.55276,dcs:SDG_NUMBER,,dcs:SDG_E_A_G
dcs:sdg/EN_MAR_BEALITSQ,dcs:country/BRB,2018,2485.46006,dcs:SDG_NUMBER,,dcs:SDG_E_A_G
dcs:sdg/EN_MAR_BEALITSQ,dcs:country/BEL,2015,15202898.55072,dcs:SDG_NUMBER,,dcs:SDG_E_A_G
dcs:sdg/EN_MAR_BEALITSQ,dcs:country/BEL,2016,270451.19829,dcs:SDG_NUMBER,,dcs:SDG_E_A_G
dcs:sdg/EN_MAR_BEALITSQ,dcs:country/BEL,2017,227315.7795,dcs:SDG_NUMBER,,dcs:SDG_E_A_G
dcs:sdg/EN_MAR_BEALITSQ,dcs:country/BEL,2018,19152.14877,dcs:SDG_NUMBER,,dcs:SDG_E_A_G
dcs:sdg/EN_MAR_BEALITSQ,dcs:country/BEL,2019,664536.06302,dcs:SDG_NUMBER,,dcs:SDG_E_A_G
dcs:sdg/EN_MAR_BEALITSQ,dcs:country/BMU,2016,484916.24656,dcs:SDG_NUMBER,,dcs:SDG_E_A_G
dcs:sdg/EN_MAR_BEALITSQ,dcs:country/BMU,2017,1806490.09692,dcs:SDG_NUMBER,,dcs:SDG_E_A_G
dcs:sdg/EN_MAR_BEALITSQ,dcs:country/BMU,2018,897788.14616,dcs:SDG_NUMBER,,dcs:SDG_E_A_G
dcs:sdg/EN_MAR_BEALITSQ,dcs:country/BIH,2016,1428110.8962,dcs:SDG_NUMBER,,dcs:SDG_E_A_G
dcs:sdg/EN_MAR_BEALITSQ,dcs:country/BRA,2015,5410679.81986,dcs:SDG_NUMBER,,dcs:SDG_E_A_G
dcs:sdg/EN_MAR_BEALITSQ,dcs:country/BRA,2016,1563746.31936,dcs:SDG_NUMBER,,dcs:SDG_E_A_G
dcs:sdg/EN_MAR_BEALITSQ,dcs:country/BRA,2017,1792396.93414,dcs:SDG_NUMBER,,dcs:SDG_E_A_G
dcs:sdg/EN_MAR_BEALITSQ,dcs:country/BRA,2018,507291.98534,dcs:SDG_NUMBER,,dcs:SDG_E_A_G
dcs:sdg/EN_MAR_BEALITSQ,dcs:country/BRA,2019,4741.20201,dcs:SDG_NUMBER,,dcs:SDG_E_A_G
dcs:sdg/EN_MAR_BEALITSQ,dcs:country/BLZ,2016,1602168.83104,dcs:SDG_NUMBER,,dcs:SDG_E_A_G
dcs:sdg/EN_MAR_BEALITSQ,dcs:country/BLZ,2017,988723.20313,dcs:SDG_NUMBER,,dcs:SDG_E_A_G
dcs:sdg/EN_MAR_BEALITSQ,dcs:country/BLZ,2018,1180477.5474,dcs:SDG_NUMBER,,dcs:SDG_E_A_G
dcs:sdg/EN_MAR_BEALITSQ,dcs:country/VGB,2016,2476880.46589,dcs:SDG_NUMBER,,dcs:SDG_E_A_G
dcs:sdg/EN_MAR_BEALITSQ,dcs:country/VGB,2017,2499565.04089,dcs:SDG_NUMBER,,dcs:SDG_E_A_G
dcs:sdg/EN_MAR_BEALITSQ,dcs:country/BRN,2016,796451.54394,dcs:SDG_NUMBER,,dcs:SDG_E_A_G
dcs:sdg/EN_MAR_BEALITSQ,dcs:country/BRN,2017,204453.90967,dcs:SDG_NUMBER,,dcs:SDG_E_A_G
dcs:sdg/EN_MAR_BEALITSQ,dcs:country/BRN,2018,88928.20042,dcs:SDG_NUMBER,,dcs:SDG_E_A_G
dcs:sdg/EN_MAR_BEALITSQ,dcs:country/BGR,2015,231936.16777,dcs:SDG_NUMBER,,dcs:SDG_E_A_G
dcs:sdg/EN_MAR_BEALITSQ,dcs:country/BGR,2016,192461.60481,dcs:SDG_NUMBER,,dcs:SDG_E_A_G
dcs:sdg/EN_MAR_BEALITSQ,dcs:country/BGR,2017,2292929.29293,dcs:SDG_NUMBER,,dcs:SDG_E_A_G
dcs:sdg/EN_MAR_BEALITSQ,dcs:country/BGR,2018,2618935.71466,dcs:SDG_NUMBER,,dcs:SDG_E_A_G
dcs:sdg/EN_MAR_BEALITSQ,dcs:country/BGR,2019,2589610.38961,dcs:SDG_NUMBER,,dcs:SDG_E_A_G
dcs:sdg/EN_MAR_BEALITSQ,dcs:country/BGR,2020,2159090.90909,dcs:SDG_NUMBER,,dcs:SDG_E_A_G
dcs:sdg/EN_MAR_BEALITSQ,dcs:country/MMR,2016,638002.77393,dcs:SDG_NUMBER,,dcs:SDG_E_A_G
dcs:sdg/EN_MAR_BEALITSQ,dcs:country/KHM,2016,2909923.11001,dcs:SDG_NUMBER,,dcs:SDG_E_A_G
dcs:sdg/EN_MAR_BEALITSQ,dcs:country/KHM,2017,6435404.90449,dcs:SDG_NUMBER,,dcs:SDG_E_A_G
dcs:sdg/EN_MAR_BEALITSQ,dcs:country/KHM,2018,5243327.61164,dcs:SDG_NUMBER,,dcs:SDG_E_A_G
dcs:sdg/EN_MAR_BEALITSQ,dcs:country/CMR,2018,84679624.19844,dcs:SDG_NUMBER,,dcs:SDG_E_A_G
dcs:sdg/EN_MAR_BEALITSQ,dcs:country/CAN,2015,1524.87188,dcs:SDG_NUMBER,,dcs:SDG_E_A_G
dcs:sdg/EN_MAR_BEALITSQ,dcs:country/CAN,2016,194241.19675,dcs:SDG_NUMBER,,dcs:SDG_E_A_G
dcs:sdg/EN_MAR_BEALITSQ,dcs:country/CAN,2017,333326.7775,dcs:SDG_NUMBER,,dcs:SDG_E_A_G
dcs:sdg/EN_MAR_BEALITSQ,dcs:country/CAN,2018,328376.1885,dcs:SDG_NUMBER,,dcs:SDG_E_A_G
dcs:sdg/EN_MAR_BEALITSQ,dcs:country/CPV,2018,164925.7834,dcs:SDG_NUMBER,,dcs:SDG_E_A_G
dcs:sdg/EN_MAR_BEALITSQ,dcs:country/CYM,2016,3348054.70739,dcs:SDG_NUMBER,,dcs:SDG_E_A_G
dcs:sdg/EN_MAR_BEALITSQ,dcs:country/CYM,2017,1209102.35213,dcs:SDG_NUMBER,,dcs:SDG_E_A_G
dcs:sdg/EN_MAR_BEALITSQ,dcs:country/CYM,2018,231897.78457,dcs:SDG_NUMBER,,dcs:SDG_E_A_G
dcs:sdg/EN_MAR_BEALITSQ,dcs:country/LKA,2016,3303721.53734,dcs:SDG_NUMBER,,dcs:SDG_E_A_G
dcs:sdg/EN_MAR_BEALITSQ,dcs:country/LKA,2017,3502183.88718,dcs:SDG_NUMBER,,dcs:SDG_E_A_G
dcs:sdg/EN_MAR_BEALITSQ,dcs:country/LKA,2018,1673197.93362,dcs:SDG_NUMBER,,dcs:SDG_E_A_G
dcs:sdg/EN_MAR_BEALITSQ,dcs:country/CHL,2015,791304.34783,dcs:SDG_NUMBER,,dcs:SDG_E_A_G
dcs:sdg/EN_MAR_BEALITSQ,dcs:country/CHL,2016,703400.99798,dcs:SDG_NUMBER,,dcs:SDG_E_A_G
dcs:sdg/EN_MAR_BEALITSQ,dcs:country/CHL,2017,1295306.11803,dcs:SDG_NUMBER,,dcs:SDG_E_A_G
dcs:sdg/EN_MAR_BEALITSQ,dcs:country/CHL,2018,3741894.67025,dcs:SDG_NUMBER,,dcs:SDG_E_A_G
dcs:sdg/EN_MAR_BEALITSQ,dcs:country/CHN,2015,14219138.35957,dcs:SDG_NUMBER,,dcs:SDG_E_A_G
dcs:sdg/EN_MAR_BEALITSQ,dcs:country/CHN,2016,114915.70401,dcs:SDG_NUMBER,,dcs:SDG_E_A_G
dcs:sdg/EN_MAR_BEALITSQ,dcs:country/CHN,2017,278760.237,dcs:SDG_NUMBER,,dcs:SDG_E_A_G
dcs:sdg/EN_MAR_BEALITSQ,dcs:country/CHN,2018,134588.02307,dcs:SDG_NUMBER,,dcs:SDG_E_A_G
dcs:sdg/EN_MAR_BEALITSQ,dcs:country/COL,2016,46909860.4264,dcs:SDG_NUMBER,,dcs:SDG_E_A_G
dcs:sdg/EN_MAR_BEALITSQ,dcs:country/COL,2017,4037824.02663,dcs:SDG_NUMBER,,dcs:SDG_E_A_G
dcs:sdg/EN_MAR_BEALITSQ,dcs:country/COL,2018,426618.67405,dcs:SDG_NUMBER,,dcs:SDG_E_A_G
dcs:sdg/EN_MAR_BEALITSQ,dcs:country/CRI,2015,13522727.27273,dcs:SDG_NUMBER,,dcs:SDG_E_A_G
dcs:sdg/EN_MAR_BEALITSQ,dcs:country/CRI,2016,2798832.24723,dcs:SDG_NUMBER,,dcs:SDG_E_A_G
dcs:sdg/EN_MAR_BEALITSQ,dcs:country/CRI,2017,2260979.57532,dcs:SDG_NUMBER,,dcs:SDG_E_A_G
dcs:sdg/EN_MAR_BEALITSQ,dcs:country/CRI,2018,1672655.83999,dcs:SDG_NUMBER,,dcs:SDG_E_A_G
dcs:sdg/EN_MAR_BEALITSQ,dcs:country/HRV,2015,45382352.94118,dcs:SDG_NUMBER,,dcs:SDG_E_A_G
dcs:sdg/EN_MAR_BEALITSQ,dcs:country/HRV,2016,429251.94996,dcs:SDG_NUMBER,,dcs:SDG_E_A_G
dcs:sdg/EN_MAR_BEALITSQ,dcs:country/HRV,2019,55349.64755,dcs:SDG_NUMBER,,dcs:SDG_E_A_G
dcs:sdg/EN_MAR_BEALITSQ,dcs:country/CUB,2016,631355.86168,dcs:SDG_NUMBER,,dcs:SDG_E_A_G
dcs:sdg/EN_MAR_BEALITSQ,dcs:country/CUB,2017,6047124.32271,dcs:SDG_NUMBER,,dcs:SDG_E_A_G
dcs:sdg/EN_MAR_BEALITSQ,dcs:country/CYP,2015,380499.54073,dcs:SDG_NUMBER,,dcs:SDG_E_A_G
dcs:sdg/EN_MAR_BEALITSQ,dcs:country/CYP,2016,1230419.63045,dcs:SDG_NUMBER,,dcs:SDG_E_A_G
dcs:sdg/EN_MAR_BEALITSQ,dcs:country/CYP,2017,4879745.06752,dcs:SDG_NUMBER,,dcs:SDG_E_A_G
dcs:sdg/EN_MAR_BEALITSQ,dcs:country/CYP,2018,4901153.75067,dcs:SDG_NUMBER,,dcs:SDG_E_A_G
dcs:sdg/EN_MAR_BEALITSQ,dcs:country/CYP,2020,18794701.98675,dcs:SDG_NUMBER,,dcs:SDG_E_A_G
dcs:sdg/EN_MAR_BEALITSQ,dcs:country/CZE,2017,137315.48232,dcs:SDG_NUMBER,,dcs:SDG_E_A_G
dcs:sdg/EN_MAR_BEALITSQ,dcs:country/CZE,2018,10974.29819,dcs:SDG_NUMBER,,dcs:SDG_E_A_G
dcs:sdg/EN_MAR_BEALITSQ,dcs:country/DNK,2015,128985.92359,dcs:SDG_NUMBER,,dcs:SDG_E_A_G
dcs:sdg/EN_MAR_BEALITSQ,dcs:country/DNK,2016,196138.69634,dcs:SDG_NUMBER,,dcs:SDG_E_A_G
dcs:sdg/EN_MAR_BEALITSQ,dcs:country/DNK,2017,63904.508,dcs:SDG_NUMBER,,dcs:SDG_E_A_G
dcs:sdg/EN_MAR_BEALITSQ,dcs:country/DNK,2018,208070.59563,dcs:SDG_NUMBER,,dcs:SDG_E_A_G
dcs:sdg/EN_MAR_BEALITSQ,dcs:country/DNK,2019,249039.03227,dcs:SDG_NUMBER,,dcs:SDG_E_A_G
dcs:sdg/EN_MAR_BEALITSQ,dcs:country/DNK,2020,197792.00181,dcs:SDG_NUMBER,,dcs:SDG_E_A_G
